name,bounds,initial,cmtnum,pftnum
nmax,"[0.2999999999999998, 5.7]",3.0,3,0
nmax,"[0.19999999999999996, 3.8]",2.0,3,1
nmax,"[0.5, 9.5]",5.0,3,2
nmax,"[0.09999999999999998, 1.9]",1.0,3,3
krb(0),"[-0.5999999999999996, -11.4]",-6.0,3,0
krb(0),"[-0.2999999999999998, -5.7]",-3.0,3,1
krb(0),"[-0.2999999999999998, -5.7]",-3.0,3,2
krb(0),"[-0.5, -9.5]",-5.0,3,3
krb(1),"[-0.5, -9.5]",-5.0,3,0
krb(1),"[-0.3999999999999999, -7.6]",-4.0,3,1
krb(1),"[-0.9000000000000004, -17.1]",-9.0,3,2
krb(2),"[-0.7999999999999998, -15.2]",-8.0,3,0
krb(2),"[-0.3999999999999999, -7.6]",-4.0,3,1
krb(2),"[-0.3500000000000001, -6.65]",-3.5,3,2
cfall(0),"[0.00017179999999999995, 0.0032642]",0.001718,3,0
cfall(0),"[0.005579000000000001, 0.106001]",0.05579,3,1
cfall(0),"[0.006108999999999996, 0.11607100000000001]",0.06109,3,2
cfall(0),"[0.0005533999999999999, 0.010514599999999999]",0.005534,3,3
cfall(1),"[0.0005564999999999997, 0.0105735]",0.005565,3,0
cfall(1),"[0.0007216000000000002, 0.013710400000000001]",0.007216,3,1
cfall(1),"[0.00014020000000000005, 0.0026638]",0.001402,3,2
cfall(2),"[0.0006994999999999996, 0.0132905]",0.006995,3,0
cfall(2),"[0.0009014000000000001, 0.0171266]",0.009014,3,1
cfall(2),"[0.0001272999999999999, 0.0024187]",0.001273,3,2
nfall(0),"[0.0009999999999999992, 0.019000000000000003]",0.01,3,0
nfall(0),"[0.0007999999999999995, 0.015200000000000002]",0.008,3,1
nfall(0),"[0.0007999999999999995, 0.015200000000000002]",0.008,3,2
nfall(1),"[0.0011000000000000003, 0.0209]",0.011,3,0
nfall(1),"[0.0007999999999999995, 0.015200000000000002]",0.008,3,1
nfall(1),"[0.0007999999999999995, 0.015200000000000002]",0.008,3,2
nfall(2),"[8.000000000000005e-06, 0.000152]",8e-05,3,0
nfall(2),"[8.000000000000005e-06, 0.000152]",8e-05,3,1
nfall(2),"[8.000000000000005e-06, 0.000152]",8e-05,3,2
