panel,metric,item,value
PFT Comparison,GPP,EverTree,3.498929243787104e-05
PFT Comparison,GPP,DecidShrub,0.00544432637935037
PFT Comparison,GPP,DecidTree,-0.07409519781962393
PFT Comparison,GPP,Moss,8.080712827150931e-05
PFT Comparison,NPP,EverTree,0.0007857679628052172
PFT Comparison,NPP,DecidShrub,-0.00302960555483537
PFT Comparison,NPP,DecidTree,-0.5528534009214381
PFT Comparison,NPP,Moss,0.00013938232047977495
PFT Comparison,$C_{leaf}$,EverTree,-9.992161690579462e-05
PFT Comparison,$C_{leaf}$,DecidShrub,-0.00040933269101116527
PFT Comparison,$C_{leaf}$,DecidTree,0.00026718076519056944
PFT Comparison,$C_{leaf}$,Moss,0.001838447495235845
PFT Comparison,$C_{stem}$,EverTree,-0.0003487531526008814
PFT Comparison,$C_{stem}$,DecidShrub,0.03249393687789239
PFT Comparison,$C_{stem}$,DecidTree,0.05568929733939365
PFT Comparison,$C_{root}$,EverTree,-0.0001351494874610089
PFT Comparison,$C_{root}$,DecidShrub,0.03243668933464467
PFT Comparison,$C_{root}$,DecidTree,0.013911669154930445
PFT Comparison,$N_{leaf}$,EverTree,0.0013209993813540848
PFT Comparison,$N_{leaf}$,DecidShrub,-0.0011856474491551438
PFT Comparison,$N_{leaf}$,DecidTree,-0.0048181002041568916
PFT Comparison,$N_{leaf}$,Moss,0.001894273527641388
PFT Comparison,$N_{stem}$,EverTree,-0.00043446541930993766
PFT Comparison,$N_{stem}$,DecidShrub,0.0584370515416741
PFT Comparison,$N_{stem}$,DecidTree,-0.045821521785175845
PFT Comparison,$N_{root}$,EverTree,0.0006072396623975677
PFT Comparison,$N_{root}$,DecidShrub,0.032368866972049805
PFT Comparison,$N_{root}$,DecidTree,0.6586404077254703
Soil Comparison,Soils,SHLWC,0.000694905482087383
Soil Comparison,Soils,DEEPC,0.004999566542082778
Soil Comparison,Soils,MINEC,-0.767082844944228
Soil Comparison,Soils,AVLN,-9.88404531957646e-05
