name,bounds,initial,cmtnum,pftnum
nmax,"[1, 5]",3.383716,1,0
nmax,"[1, 5]",1.54588,1,1
nmax,"[1, 5]",1.000042,1,2
nmax,"[1, 5]",3.551762,1,3
krb(0),"[-20, -0.1]",-6.0,1,0
krb(0),"[-20, -0.1]",-3.45,1,1
krb(0),"[-20, -0.1]",-2.95,1,2
krb(0),"[-20, -0.1]",-4.65,1,3
krb(1),"[-20, -0.1]",-4.88,1,0
krb(1),"[-20, -0.1]",-5.15,1,1
krb(1),"[-20, -0.1]",-6.65,1,2
krb(2),"[-20, -0.1]",-8.2,1,0
krb(2),"[-20, -0.1]",-6.2,1,1
krb(2),"[-20, -0.1]",-3.2,1,2
cfall(0),"[1e-05, 0.2]",0.0018,1,0
cfall(0),"[1e-05, 0.2]",0.065,1,1
cfall(0),"[1e-05, 0.2]",0.074,1,2
cfall(0),"[1e-05, 0.2]",0.014,1,3
cfall(1),"[1e-05, 0.2]",0.0045,1,0
cfall(1),"[1e-05, 0.2]",0.0033,1,1
cfall(1),"[1e-05, 0.2]",0.004,1,2
cfall(2),"[1e-05, 0.09]",0.013,1,0
cfall(2),"[1e-05, 0.09]",0.0029,1,1
cfall(2),"[1e-05, 0.09]",0.023,1,2
