parameters,dist_min,dist_max,weights,initialGuess,OF:61.31596293573109
nfall00,1.0e-7,0.2,1.0,0.011,0.011000000000000008
nfall01,1.0e-7,0.2,1.0,0.028,0.028012416146852185
nfall02,1.0e-7,0.2,1.0,0.028,0.03262729806600512
nfall03,1.0e-7,0.2,1.0,0.009,0.008567859741865563
nfall10,1.0e-7,0.2,1.0,0.001,0.0009695663700692832
nfall11,1.0e-7,0.2,1.0,0.001,0.000999385843245878
nfall12,1.0e-7,0.2,1.0,0.006,0.006000000000000004
nfall20,1.0e-7,0.09,1.0,0.011,0.008584700976922103
nfall21,1.0e-7,0.09,1.0,0.008,0.008000000000000004
nfall22,1.0e-7,0.09,1.0,0.008,0.007854716724263772
