parameters,dist_min,dist_max,weights,initialGuess,OF:75.84959444809067,OF:59.8626435264085,OF:75.8479591625773,OF:62.118908233286746,OF:71.51645986536239,OF:61.41971902067808,OF:58.842359390961626,OF:60.67290861883708,OF:65.5258184557345,OF:59.1941266017366
nfall00,1.0e-7,0.2,1.0,0.001,2.3193521015856784e-7,0.0020805843109059485,1.3955564254971563e-7,0.00022161146613794387,0.015693276991693733,7.447631824348471e-7,9.611764894566717e-6,5.4021224484916865e-5,0.11169096186042267,0.008451461168448152
nfall01,1.0e-7,0.2,1.0,0.028,2.04160856982069e-6,7.792006473723181e-5,0.0004179301150342195,3.010789996133536e-7,0.10131950945559781,0.000477083782773295,6.538957092287718e-7,1.6560459602180754e-6,1.0067636979326775e-7,1.4908956124365264e-6
nfall02,1.0e-7,0.2,1.0,0.028,7.42890715409528e-6,2.81411218820907e-5,6.518281291004832e-7,3.898034177262588e-5,1.245568501473436e-7,3.162697839471754e-5,3.467795639741961e-5,6.622429104100446e-7,1.2848667217962995e-6,0.005820974354474764
nfall03,1.0e-7,0.2,1.0,0.009,0.0348476257181204,8.495459245018958e-7,0.0487775734759569,1.9375985681643874e-7,0.026046772033478646,0.00042801488397695424,0.0005084474010202873,0.0020891820502484367,1.177543927564352e-7,0.06567987750075512
nfall10,1.0e-7,0.2,1.0,0.001,9.243345123402558e-5,0.10469644254969247,1.684501587287777e-7,0.0026320115216997226,0.048784873933610265,0.02894226182209261,0.0011193104147680932,5.161587195058883e-7,0.16293755417051342,1.3465890128901293e-5
nfall11,1.0e-7,0.2,1.0,0.001,5.685464932065919e-7,1.2263904089155627e-6,3.081902594539042e-7,1.150959129350178e-6,0.004440654888875038,1.0021781853556013e-7,0.02365168649401931,4.758513817405452e-6,2.58668071344303e-7,0.00018011532920065443
nfall12,1.0e-7,0.2,1.0,0.006,0.18037417532995256,5.31367882218786e-7,0.014626419461039807,0.002697584154720636,0.005513178322009583,0.0006409388628161291,3.5015372500438375e-5,0.001968515445213201,0.026745185169170918,8.260295765827578e-6
nfall20,1.0e-7,0.09,1.0,0.011,0.009284746083476826,2.668392203632282e-7,0.020206592159310498,2.8823681639540366e-5,1.0491461669602957e-7,0.0005202853531432854,7.952436418662138e-5,1.2323334723913012e-7,2.5234105791260787e-7,2.4556187827315218e-6
nfall21,1.0e-7,0.09,1.0,0.008,3.4187544307671506e-7,1.6111826870630336e-6,1.3748475951509605e-7,0.013712946078673901,0.004460193364834743,5.1303699652241175e-6,0.0005653502361312127,2.286806213659536e-6,1.739183931883318e-7,0.05161447908737176
nfall22,1.0e-7,0.09,1.0,0.008,5.259507278947456e-7,0.004620080640103159,1.0975745551365064e-7,1.4073990364066387e-6,0.06892246303677224,0.00030110355248976644,2.7009236125722624e-5,0.022926450244473026,1.0209149736419873e-7,2.715456098657944e-7
