parameters,observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9
o1,293.76,570.0272827148438,107.87054061889648,586.1427795410157,532.5400756835937,563.5209533691407,569.1826477050781,560.3808349609375,550.369482421875,574.8322326660157,582.0773315429688
o2,1796.32,503.597412109375,64.02728042602538,3258.7889892578123,568.5669128417969,3143.5722900390624,1124.2416381835938,1624.2778442382812,2003.2519165039062,1556.3923461914062,2742.9046875
o3,404.48,150.50786895751952,406.6809509277344,3602.4066162109375,186.82872924804687,2533.96357421875,363.89842834472654,588.5721130371094,931.3330078125,626.2933227539063,1529.8387084960937
o4,15.13,8.721787357330323,11.612225151062011,11.315454006195068,11.451803302764892,11.63826093673706,11.499907398223877,7.190630006790161,11.482141494750977,11.657868099212646,11.29228401184082
o5,100.16,49.362297439575194,266.78333740234376,29.356115531921386,49.67044296264648,278.9322021484375,272.2672576904297,88.74933853149415,213.49852447509767,253.15022735595704,76.2635498046875
o6,15.07,7.653866100311279,43.986807632446286,154.49691619873047,151.57510681152343,9.054034996032716,54.27225608825684,8.772458839416505,0.5389773309230804,50.890197372436525,47.69695854187012
o7,9.06,6.6796464920043945,8.935296535491943,8.594327926635742,4.226433610916137,7.023486661911011,6.927998828887939,6.5787006378173825,6.318296432495117,6.930114459991455,7.05119514465332
o8,333.75,200.71920013427734,2036.4326904296875,1706.5248657226562,171.84344024658202,516.8127197265625,233.40543670654296,321.4567626953125,291.35072326660156,297.5944000244141,406.1732238769531
o9,44.8,7.050843381881714,21.379137992858887,9.322837448120117,13.900040435791016,24.97078514099121,17.82704391479492,17.7922004699707,20.980893516540526,3.552325654029846,24.747410011291503
o10,180.85,149.88740081787108,467.340869140625,423.27734375,164.78187103271483,429.893994140625,249.6569610595703,291.2170440673828,371.63670043945314,115.43838195800781,407.38478088378906
