parameters,observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9
o1,293.76,563.966064453125,580.1556640625,579.6509643554688,581.5615112304688,553.0691162109375,573.7789245605469,579.2731384277344,580.3849731445313,566.2591064453125,580.6934204101562
o2,1796.32,700.9370178222656,3807.1464599609376,3862.778271484375,3658.9550048828123,1756.7139526367187,2803.7012451171877,3595.41044921875,3842.380078125,464.5780853271484,3751.4177001953126
o3,404.48,98.68704376220703,372.35150756835935,378.07151184082034,357.8811920166016,172.3290252685547,59.01347770690918,351.5053741455078,375.71253967285156,122.07644577026367,366.16697387695314
o4,15.13,8.731254291534423,8.399007320404053,8.758788776397704,8.903998756408692,7.984210443496704,6.361199855804443,8.414310550689697,8.921033382415771,8.967763519287109,8.410630321502685
o5,100.16,312.9149200439453,14.939240074157714,348.65920104980466,390.7798553466797,113.6111671447754,202.58485565185546,67.07837753295898,401.9672454833984,420.13116455078125,26.080104446411134
o6,15.07,12.720547580718994,1.1739481687545776,3.6205728530883787,39.69336051940918,16.22602233886719,20.764568901062013,13.254562664031983,40.79159317016602,42.66259651184082,11.53129539489746
o7,9.06,5.11346287727356,4.883622837066651,4.851207876205445,4.881954479217529,4.711894226074219,3.6702712774276733,4.800424718856812,4.905091953277588,5.102451133728027,3.8518449783325197
o8,333.75,568.8181396484375,513.2261108398437,489.8417144775391,201.87234802246093,242.47086334228516,174.6254623413086,323.2805419921875,508.237158203125,423.98243408203126,167.3660125732422
o9,44.8,12.309196090698242,12.16259536743164,3.7458248138427734,5.8806487083435055,7.488688993453979,1.9799920797348023,8.824923896789551,12.04683895111084,5.171385383605957,3.4785428047180176
o10,180.85,114.99744033813477,291.7793029785156,291.6490051269531,163.20681915283203,293.2138702392578,177.44753875732422,231.3516387939453,291.6065185546875,60.06161041259766,219.15179748535155
