parameters,dist_min,dist_max,weights,initialGuess,OF:1.581803731327324e-5,OF:0.0007892428957151534,OF:2.9189057512327985e-6,OF:0.0010363228772355957,OF:2.1485777143775907e-6,OF:2.0292023455965044e6,OF:1.378104279456178e-6,OF:6.915269819816987e-6,OF:9.72998341525277e-7,OF:8.421557624553919e-5,OF:5.238967703533376e-6
cmax0,13.0,100.0,100.0,26.24,26.244815910249194,26.244870737102858,26.244861645056414,26.244826470556134,26.244868903187786,26.356818261281262,26.24487069418293,26.24486770893853,26.244818066556064,26.244862609413683,26.24481441966862
cmax1,56.0,200.0,100.0,113.0,113.7856896606063,113.78580566218244,113.78554064539021,113.78600857004548,113.78559181759434,117.94653394360358,113.78557476997126,113.78559478949293,113.78572759366676,113.78558377632115,113.78568727938057
cmax2,48.0,500.0,100.0,296.0,296.95644016981976,296.95646234671227,296.955755914325,296.9566432777063,296.9557845973329,340.55337207140957,296.95576825106,296.9557744459169,296.956439931893,296.9557120407523,296.9563997816785
cmax3,9.0,90.0,100.0,18.0,18.387489421908654,18.38785099214369,18.387574645257104,18.387063326664915,18.38756674524786,19.816886528385076,18.387556958381538,18.38760084142178,18.387545411708736,18.387710389932955,18.38758337320863
