parameters,observation,model,model_1,model_2,model_3,model_4
o1,293.76,573.913525390625,536.1792236328125,534.4657958984375,563.5860290527344,505.71788635253904
o2,1796.32,1897.6728637695312,1809.4720703125,1795.6890747070313,1807.3802856445313,1805.95439453125
o3,404.48,404.80060119628905,306.00645141601564,291.2318969726563,301.2930511474609,283.7128204345703
o4,15.13,4.046708488464356,8.335523986816407,5.0628077507019045,4.499599266052246,8.865830612182616
o5,100.16,57.14018325805664,68.09875106811523,46.14271850585938,47.801673889160156,65.94855270385742
o6,15.07,1.431538701057434,16.398431968688964,19.19547519683838,2.3917837619781492,8.535070514678955
o7,9.06,1.6149205327033997,4.7785694122314455,3.9697527647018434,3.9711886167526247,3.092248797416687
o8,333.75,275.6575103759766,247.5868896484375,327.85692138671874,195.38357238769532,338.10826416015624
o9,44.8,12.796248626708984,21.580364227294922,67.39126663208008,35.924208068847655,22.63060474395752
o10,180.85,85.61971282958984,141.81082458496093,158.4099594116211,201.07030334472657,187.9622817993164
