parameters,observation,model
o1,293.76,503.3899810791016
o2,1796.32,1789.4733764648438
o3,404.48,394.53931884765626
o4,15.13,7.774365186691284
o5,100.16,111.05619201660156
o6,15.07,14.46016616821289
o7,9.06,4.590164470672607
o8,333.75,339.3808654785156
o9,44.8,7.506956768035889
o10,180.85,202.40162506103516
