parameters,dist_min,dist_max,weights,initialGuess,OF:482.82577320803824
nmax0,1.0,20.0,1.0,2.95,2.696225985293945
nmax1,1.0,20.0,1.0,1.45,1.2882274780446226
nmax2,1.0,20.0,1.0,1.07,1.000059122015635
nmax3,1.0,20.0,1.0,2.1,2.1000000000000014
