panel,metric,item,value
PFT Comparison,GPP,Sphag,-0.16838135514913666
PFT Comparison,GPP,EverShrub,-0.03745103496058377
PFT Comparison,NPP,Sphag,-0.1033319713823937
PFT Comparison,NPP,EverShrub,0.028551709363034083
PFT Comparison,$C_{leaf}$,Sphag,-0.1206460489608967
PFT Comparison,$C_{leaf}$,EverShrub,-0.07169437275273194
PFT Comparison,$C_{stem}$,Sphag,-0.04545724368335523
PFT Comparison,$C_{root}$,Sphag,-0.4331866834840838
PFT Comparison,$N_{leaf}$,Sphag,-0.11830168733230018
PFT Comparison,$N_{leaf}$,EverShrub,-0.05112630052444256
PFT Comparison,$N_{stem}$,Sphag,-0.08653085401356683
PFT Comparison,$N_{root}$,Sphag,-0.6889804611457836
Soil Comparison,Soils,SHLWC,-0.005225382018563679
Soil Comparison,Soils,DEEPC,-0.761226615761503
Soil Comparison,Soils,MINEC,-0.15238575420374173
Soil Comparison,Soils,AVLN,0.006142315775738941
