name,bounds,initial,cmtnum,pftnum
nmax,"[1, 10]",3.1,13,0
nmax,"[1, 10]",5.0,13,1
nmax,"[1, 10]",2.5,13,2
nmax,"[1, 10]",8.4025,13,3
nmax,"[1, 10]",3.0,13,4
krb(0),"[-20, -0.1]",-6.0,13,0
krb(0),"[-20, -0.1]",-2.483333333,13,1
krb(0),"[-20, -0.1]",-5.625,13,2
krb(0),"[-20, -0.1]",-2.80025,13,3
krb(0),"[-20, -0.1]",-1.0,13,4
krb(1),"[-20, -0.1]",-4.88,13,0
krb(1),"[-20, -0.1]",-2.875,13,2
krb(1),"[-20, -0.1]",-0.875,13,3
krb(2),"[-20, -0.1]",-8.2,13,0
krb(2),"[-20, -0.1]",-1.45,13,2
krb(2),"[-20, -0.1]",-4.75,13,3
