name,bounds,initial,cmtnum,pftnum
micbnup,"[7.299999493781684e-11, 0.291999999927]",0.146,5,None
kdcrawc,"[4.1199998968011187e-10, 1.647999999588]",0.824,5,None
kdcsoma,"[1.110000147352963e-10, 0.44399999988899996]",0.222,5,None
kdcsompr,"[1.7500001447956492e-11, 0.0699999999825]",0.035,5,None
kdcsomcr,"[4.999999841327613e-21, 1.9999999995e-11]",1e-11,5,None
