name,bounds,initial,cmtnum,pftnum
micbnup,"[0.03750000000000009, 1.4625]",0.75,5,None
kdcrawc,"[0.007500000000000007, 0.2925]",0.15,5,None
kdcsoma,"[0.0020000000000000018, 0.078]",0.04,5,None
kdcsompr,"[0.0012500000000000011, 0.04875]",0.025,5,None
kdcsomcr,"[1.5000000000000015e-08, 5.849999999999999e-07]",3e-07,5,None
