panel,metric,item,value
PFT Comparison,GPP,EverTree,-0.005461702617111541
PFT Comparison,GPP,DecidShrub,0.009642737874769741
PFT Comparison,GPP,Lichen,0.0014049076588303917
PFT Comparison,GPP,Feather,-0.006148394244020965
PFT Comparison,NPP,EverTree,-0.5420329127719412
PFT Comparison,NPP,DecidShrub,0.01558727161014195
PFT Comparison,NPP,Lichen,0.0012625308342219437
PFT Comparison,NPP,Feather,-0.0018370354830884728
PFT Comparison,$C_{leaf}$,EverTree,-0.02084404083957933
PFT Comparison,$C_{leaf}$,DecidShrub,-0.00554711176393912
PFT Comparison,$C_{leaf}$,Lichen,-0.004168777902043581
PFT Comparison,$C_{leaf}$,Feather,-0.05361529184816764
PFT Comparison,$C_{stem}$,EverTree,-0.2132576670681765
PFT Comparison,$C_{stem}$,DecidShrub,0.0057746140312572025
PFT Comparison,$C_{root}$,EverTree,-0.041371181580295846
PFT Comparison,$C_{root}$,DecidShrub,0.015944184825748803
PFT Comparison,$N_{leaf}$,EverTree,0.5289339189676368
PFT Comparison,$N_{leaf}$,DecidShrub,-0.04313070474219294
PFT Comparison,$N_{leaf}$,Lichen,-0.00490627468480564
PFT Comparison,$N_{leaf}$,Feather,-0.15042865115694298
PFT Comparison,$N_{stem}$,EverTree,-0.06098353301877474
PFT Comparison,$N_{stem}$,DecidShrub,0.023313615299698942
PFT Comparison,$N_{root}$,EverTree,-0.09409272638791166
PFT Comparison,$N_{root}$,DecidShrub,0.03954729653460487
Soil Comparison,Soils,SHLWC,0.0710923186819425
Soil Comparison,Soils,DEEPC,0.3110216811570895
Soil Comparison,Soils,MINEC,0.4058491236442129
Soil Comparison,Soils,AVLN,-0.0010068519673652667
