name,bounds,initial,cmtnum,pftnum
cfall(0),"[0.0004499999999999999, 0.00315]",0.0018,1,0
cfall(0),"[0.01625, 0.11375]",0.065,1,1
cfall(0),"[0.018500000000000003, 0.1295]",0.074,1,2
cfall(0),"[0.0034999999999999996, 0.0245]",0.014,1,3
cfall(1),"[0.0011250000000000001, 0.007875]",0.0045,1,0
cfall(1),"[0.0008250000000000002, 0.005775]",0.0033,1,1
cfall(1),"[0.001, 0.007]",0.004,1,2
cfall(2),"[0.0032499999999999994, 0.02275]",0.013,1,0
cfall(2),"[0.000725, 0.005075]",0.0029,1,1
cfall(2),"[0.005749999999999998, 0.04025]",0.023,1,2
