panel,metric,item,value
PFT Comparison,GPP,Lichen,-0.039689099631795344
PFT Comparison,GPP,Othmoss,-0.0040921947365815114
PFT Comparison,GPP,EverShrub,-0.03338506539368502
PFT Comparison,GPP,Gram,-0.044408325819194294
PFT Comparison,GPP,DecidShrub,-0.008139275968809007
PFT Comparison,NPP,Lichen,-0.05619399698070637
PFT Comparison,NPP,Othmoss,-0.0074568867968436425
PFT Comparison,NPP,EverShrub,-0.006380817530629357
PFT Comparison,NPP,Gram,-0.012066458437257593
PFT Comparison,NPP,DecidShrub,-0.015010378651987316
PFT Comparison,$C_{leaf}$,Lichen,0.4066758472074615
PFT Comparison,$C_{leaf}$,Othmoss,0.15622770509064388
PFT Comparison,$C_{leaf}$,EverShrub,0.1847486174333166
PFT Comparison,$C_{leaf}$,Gram,0.013402420454582065
PFT Comparison,$C_{leaf}$,DecidShrub,0.10448582903515176
PFT Comparison,$C_{stem}$,Lichen,-0.09378606370132236
PFT Comparison,$C_{stem}$,Othmoss,0.01628718419058231
PFT Comparison,$C_{root}$,Lichen,-0.13321421342188355
PFT Comparison,$C_{root}$,Othmoss,-0.39029064376427314
PFT Comparison,$C_{root}$,EverShrub,-0.01642991376827732
PFT Comparison,$N_{leaf}$,Lichen,0.5898641075585371
PFT Comparison,$N_{leaf}$,Othmoss,0.3115834783999192
PFT Comparison,$N_{leaf}$,EverShrub,0.241502216585345
PFT Comparison,$N_{leaf}$,Gram,0.008151414616292152
PFT Comparison,$N_{leaf}$,DecidShrub,0.23385849236943473
PFT Comparison,$N_{stem}$,Lichen,-0.07434025154168751
PFT Comparison,$N_{stem}$,Othmoss,0.008704577204183342
PFT Comparison,$N_{root}$,Lichen,-0.08196157953979355
PFT Comparison,$N_{root}$,Othmoss,-0.3661379676893287
PFT Comparison,$N_{root}$,EverShrub,-0.010827838955532139
Soil Comparison,Soils,SHLWC,-0.004944107323714669
Soil Comparison,Soils,DEEPC,-0.02227352244493952
Soil Comparison,Soils,MINEC,-0.45642747540476847
Soil Comparison,Soils,AVLN,-0.00012917922069968438
