obs_id,observation,model,model_1,model_2
o1,2.47,1.8759600877761842,1.876943051815033,1.873466396331787
o2,11.82,22.16158103942871,22.045218467712402,20.135762214660645
o3,0.99,1.616494846343994,1.6081384420394897,1.055043363571167
o4,8.33,5.10532431602478,5.022216510772705,5.0699018955230715
o5,93.25,185.62940826416016,49.34590606689453,188.60750427246094
o6,13.28,370.7792083740234,231.66964111328124,376.93238220214846
o7,131.74,149.1876480102539,162.1273635864258,146.2952453613281
o8,5469.13,5491.484375,5467.36220703125,9906.8662109375
o9,731.99,553.3989807128906,756.533251953125,778.2347839355468
o10,5.6,9.82735652923584,12.435338115692138,1.2960180163383483
