parameters,dist_min,dist_max,target_weights,initialGuess,OF:9059.904894373316,OF:16268.069673587352,OF:62090.882864938605,OF:18813.372688620817,OF:36997.60188546502
nmax0,4.26,42.599999999999994,1.0,8.52,4.400775941926287,37.81990921551145,19.601066514658797,20.670544884797827,10.790215311594297
nmax1,2.59,25.9,1.0,5.18,4.102238613412654,19.243756524393415,16.786086168646705,16.841289354458294,9.48237083601019
nmax2,14.655,146.54999999999998,1.0,29.31,19.34345823484689,118.35770147174782,122.34804840900628,70.63920555612114,115.22356761966306
nmax3,1.57,15.700000000000001,1.0,3.14,12.13265795126229,4.148345992325702,14.201879275529077,4.774763005667168,15.683243969172176
krb00,-74.65,-7.465,1.0,-14.93,-74.6303901414204,-15.094540661929713,-12.283212500865694,-52.349278413412264,-55.63843384698049
krb01,-74.65,-7.465,1.0,-14.93,-45.10477275979699,-29.677241310399253,-47.99090648547504,-57.19292488749164,-58.73858753428967
krb02,-42.199999999999996,-4.22,1.0,-8.44,-42.03940483209916,-30.01052134286152,-35.43480051531903,-41.5102861512075,-42.1113533974151
krb03,-34.0,-3.4,1.0,-6.8,-32.14744069084833,-32.124138227185874,-12.250962717945253,-17.482768004380166,-4.711202166852164
krb10,-19.8,-1.98,1.0,-3.96,-2.044995485028366,-18.653386055631305,-7.968072668788345,-17.977402246798004,-2.0092381303628706
krb11,-14.1,-1.41,1.0,-2.82,-8.200485268037067,-6.306871191986067,-6.16832494500823,-12.172423918199007,-11.909337511356613
krb12,-64.65,-6.465,1.0,-12.93,-56.42773858251201,-14.174506230290632,-24.401733060297488,-19.444023260843174,-57.418668989541196
krb20,-68.3,-6.83,1.0,-13.66,-53.793396593149694,-44.09007383269845,-43.61514888418807,-46.75190139459166,-10.019422716155702
krb21,-17.2,-1.72,1.0,-3.44,-15.571733236279211,-1.9181518979392855,-8.212291138960127,-5.981187934518745,-10.560797630683345
krb22,-18.700000000000003,-1.87,1.0,-3.74,-4.3616676317513825,-13.586134960050408,-15.424594058997245,-16.918180435628265,-4.524814513192911
cfall00,0.00025,0.0025,0.0,0.0005,0.0003728886063814009,0.0024615942735242953,0.0024964358893054947,0.0008231340733039648,0.00025295919198307796
cfall01,0.0136,0.13599999999999998,0.0,0.0272,0.013700611416371779,0.037104022727577575,0.014559174353739785,0.03277669757284164,0.0138108769308563
cfall02,0.0175,0.17500000000000002,0.0,0.035,0.08680760693978315,0.12079658342865586,0.02100514726985267,0.11579737336876908,0.06648345864587149
cfall03,0.001,0.01,0.0,0.002,0.008544716091815069,0.0074255096823845545,0.003427926951456582,0.009395884293120228,0.00982466998143152
cfall10,0.11,1.1,0.0,0.22,0.7977060422600384,0.7521459158217214,0.18091247953252917,0.8087620810653868,0.23173918672946078
cfall11,0.06,0.6,0.0,0.12,0.2590039801781221,0.5865206826337159,0.09840297652481486,0.2177350762439697,0.06009141637033096
cfall12,0.0025,0.025,0.0,0.005,0.0037865757091579155,0.004263970250576188,0.006417079573520841,0.0027507512122665495,0.005261729700265296
cfall20,0.0025,0.025,0.0,0.005,0.022989598964550845,0.016038212735596642,0.00846637693394292,0.02453654964018601,0.0025773686688279488
cfall21,0.018,0.18,0.0,0.036,0.15980815813383148,0.07763355785334618,0.10695833944983119,0.13285847976812568,0.1561245595239623
cfall22,0.002,0.02,0.0,0.004,0.01192101525939872,0.015788056680116118,0.019992994350127236,0.008734122617040138,0.01999995245119517
