parameters,dist_min,dist_max,target_weights,initialGuess,OF:8516.020356448333,OF:108754.60129354091
nmax0,1.5,15.0,1.0,3.0,8.264974398878616,10.721588103947047
nmax1,1.25,12.5,1.0,2.5,9.4980431701376,8.457272610625468
nmax2,3.5,35.0,1.0,7.0,8.460033347453603,29.28919338775007
nmax3,0.5,5.0,1.0,1.0,4.368757241463596,4.4857294657633044
krb00,-31.0,-3.1,1.0,-6.2,-17.1915231381126,-27.723901834392223
krb01,-17.5,-1.75,1.0,-3.5,-15.676768460022606,-4.75353202485614
krb02,-17.5,-1.75,1.0,-3.5,-2.9437825017086396,-16.69100025701258
krb03,-25.25,-2.525,1.0,-5.05,-22.445962521288163,-3.499573964388304
krb10,-26.0,-2.6,1.0,-5.2,-5.163580010051735,-24.922293395080242
krb11,-22.5,-2.25,1.0,-4.5,-14.460956578778646,-22.42656459890319
krb12,-32.5,-3.25,1.0,-6.5,-9.512329008467542,-32.248664109142965
krb20,-41.0,-4.1,1.0,-8.2,-4.108513315762792,-31.898616738200904
krb21,-31.5,-3.15,1.0,-6.3,-23.352668169140856,-28.03263904825599
krb22,-27.5,-2.75,1.0,-5.5,-15.515397441855882,-27.28259779558104
cfall00,0.00075,0.0075,1.0,0.0015,0.001798948098779832,0.0009791092784467983
cfall01,0.025,0.25,1.0,0.05,0.029134222890985297,0.052957241911706705
cfall02,0.0375,0.375,1.0,0.075,0.0574904852796834,0.29428770328883713
cfall03,0.003,0.03,1.0,0.006,0.005809325944721186,0.012709786247333679
cfall10,0.4,4.0,1.0,0.8,2.84463904954411,0.5174351723569623
cfall11,0.1,1.0,1.0,0.2,0.1141712831214903,0.13859708699362788
cfall12,0.002,0.02,1.0,0.004,0.004211501782153517,0.0029504154052021623
cfall20,0.0065,0.065,1.0,0.013,0.008003431425449955,0.006501221477885751
cfall21,0.05,0.5,1.0,0.1,0.1620967737432939,0.15589486468048228
cfall22,0.0075,0.075,1.0,0.015,0.015171166527310868,0.01005932012886612
nfall00,0.005,0.05,0.0,0.01,0.01023845962951334,0.010616912765874707
nfall01,0.004,0.04,0.0,0.008,0.031042052110430728,0.006457371741629853
nfall02,0.004,0.04,0.0,0.008,0.00521836346949538,0.0056589165286702655
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.01973663408420255,0.01745767311734124
nfall11,0.004,0.04,0.0,0.008,0.0073544481822082255,0.039803020610304295
nfall12,0.004,0.04,0.0,0.008,0.006555074344262104,0.027710755755884817
nfall20,4.0e-5,0.0004,0.0,8.0e-5,4.346373540113619e-5,6.949429675033944e-5
nfall21,4.0e-5,0.0004,0.0,8.0e-5,0.0003168839413886917,8.896976211751918e-5
nfall22,4.0e-5,0.0004,0.0,8.0e-5,0.00013810447883971097,0.0001379275139379703
nfall23,4.0e-5,0.0004,0.0,8.0e-5,9.452624831826625e-5,0.00014564518725283205
