parameters,dist_min,dist_max,target_weights,initialGuess,OF:13098.58326684386,OF:32100.42242979623
nmax0,1.5,15.0,1.0,3.0,8.606005520441597,6.340631111278774
nmax1,1.25,12.5,1.0,2.5,10.569443950659581,5.195634642215266
nmax2,3.5,35.0,1.0,7.0,9.69276375378259,34.85359723628348
nmax3,0.5,5.0,1.0,1.0,2.9296150982026434,3.9575691673906848
krb00,-31.0,-3.1,1.0,-6.2,-22.49253117012166,-5.318066305893456
krb01,-17.5,-1.75,1.0,-3.5,-16.414856218692808,-14.70043201018751
krb02,-17.5,-1.75,1.0,-3.5,-13.449565641170956,-14.520178487858361
krb03,-25.25,-2.525,1.0,-5.05,-22.837668202350873,-6.457936068988165
krb10,-26.0,-2.6,1.0,-5.2,-17.962640918173122,-25.99078752872057
krb11,-22.5,-2.25,1.0,-4.5,-18.4171349458932,-12.549795539768832
krb12,-32.5,-3.25,1.0,-6.5,-28.89101310762452,-11.938079934027513
krb20,-41.0,-4.1,1.0,-8.2,-21.443421653347748,-36.67642683316824
krb21,-31.5,-3.15,1.0,-6.3,-18.99353977885583,-18.68146899198336
krb22,-27.5,-2.75,1.0,-5.5,-19.41110579792079,-16.780692481721566
cfall00,0.00075,0.0075,1.0,0.0015,0.0017368708909217948,0.004583119089086664
cfall01,0.025,0.25,1.0,0.05,0.034076824842363435,0.136789807999223
cfall02,0.0375,0.375,1.0,0.075,0.03984388251635174,0.30547990407326137
cfall03,0.003,0.03,1.0,0.006,0.007407882515144894,0.005171167113161122
cfall10,0.4,4.0,1.0,0.8,0.4404122348738075,2.7352785572653056
cfall11,0.1,1.0,1.0,0.2,0.3851479387819949,0.1287026442947637
cfall12,0.002,0.02,1.0,0.004,0.004581997048658308,0.0025698637317785092
cfall20,0.0065,0.065,1.0,0.013,0.015361124514033209,0.015265465704385223
cfall21,0.05,0.5,1.0,0.1,0.15635514383939597,0.3658129346750693
cfall22,0.0075,0.075,1.0,0.015,0.016892704734246526,0.012124714090860609
nfall00,0.005,0.05,0.0,0.01,0.0242819900651723,0.005858472013050052
nfall01,0.004,0.04,0.0,0.008,0.007744667070928414,0.017301343643172182
nfall02,0.004,0.04,0.0,0.008,0.037929936187430444,0.039949053869071896
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.04445280015503281,0.009760860432318578
nfall11,0.004,0.04,0.0,0.008,0.0058370996536645,0.03268937663103532
nfall12,0.004,0.04,0.0,0.008,0.01681754568528389,0.00560101276110796
nfall20,4.0e-5,0.0004,0.0,8.0e-5,4.145405832325128e-5,0.0002035575114766568
nfall21,4.0e-5,0.0004,0.0,8.0e-5,8.331441368378999e-5,0.0003869166085594006
nfall22,4.0e-5,0.0004,0.0,8.0e-5,4.0256197901161484e-5,4.00224110684449e-5
nfall23,4.0e-5,0.0004,0.0,8.0e-5,0.00016375276587672556,0.00017545794632895455
