parameters,dist_min,dist_max,target_weights,initialGuess,OF:1.164670358753548e7,OF:8.017001091646976e6,OF:6.1376007022305215e6,OF:5.518463710695993e6,OF:2.1594585995922107e7,OF:6.339125764495753e6
nmax0,1.5,15.0,1.0,3.0,9.008972837558149,10.94038734792893,2.43727037609506,3.629277772133257,10.378983870871908,3.0
nmax1,1.0,10.0,1.0,2.0,9.144999794638803,1.469594945641197,7.509673469434703,6.728302429511382,3.2705624729550777,1.755415474722692
nmax2,3.25,32.5,1.0,6.5,19.572942286812058,23.867603239948977,14.065272559674552,7.79945780844545,3.9239557565158574,5.828122389986503
nmax3,0.5,5.0,1.0,1.0,4.078899517293733,1.2367334687369402,2.317471074739008,3.1387840294845115,2.6162095711679667,0.9999999999999927
krb00,-30.0,-3.0,1.0,-6.0,-10.300453004509958,-8.699116476147044,-25.121780060110495,-22.335296968260323,-24.849422573170767,-6.363066979297297
krb01,-15.0,-1.5,1.0,-3.0,-13.46651232150377,-7.529777654309574,-14.139516707630333,-10.211139466165934,-4.230408637067528,-3.141766965125777
krb02,-15.0,-1.5,1.0,-3.0,-3.3511802984297745,-7.244245011788619,-7.849998757386388,-3.8596836307379263,-11.866564298126304,-3.056651594194994
krb03,-25.0,-2.5,1.0,-5.0,-11.572491507066495,-20.77015356238571,-4.786887484082101,-17.095710153079356,-5.16616495503677,-5.404325779710742
krb10,-25.0,-2.5,1.0,-5.0,-12.476273575310987,-21.123194053102704,-23.53498049403903,-5.525567498154835,-11.805177640484018,-5.331110304096448
krb11,-20.0,-2.0,1.0,-4.0,-4.26104902820296,-6.01454983906992,-18.46654604323113,-17.598760413273972,-8.086489293056117,-4.315487558754176
krb12,-30.0,-3.0,1.0,-6.0,-29.281509620581524,-24.244627325815888,-23.132795601660458,-12.689989735313475,-15.38255654426258,-24.710411246120923
krb20,-40.0,-4.0,1.0,-8.0,-13.009768130186629,-36.26931365392534,-8.313390114767,-31.214149890491626,-37.891477278514884,-8.006769621599684
krb21,-30.0,-3.0,1.0,-6.0,-13.000322906987211,-9.984641065496206,-29.40430635398211,-8.315236106021576,-12.109671489431637,-3.5014664724683655
krb22,-25.0,-2.5,1.0,-5.0,-22.756685495464907,-15.006010916375244,-24.925792783660597,-9.519786598937351,-21.282046688533654,-4.881729662577751
cfall00,0.0005,0.005,0.0,0.001,0.0007723084497020255,0.0019947222205767647,0.0005085383898149894,0.002496716071856615,0.0029435368289671684,0.000999891778979872
cfall01,0.025,0.25,0.0,0.05,0.039839716531524294,0.10493322344635501,0.19113011582002631,0.18632700703575827,0.1571779702910121,0.04953124601889268
cfall02,0.03,0.3,0.0,0.06,0.1622748078619696,0.2991234387815288,0.030000040234531712,0.031422958734261,0.03271089478172785,0.04708134798995862
cfall03,0.0025,0.025,0.0,0.005,0.004098903914912445,0.021311260602520053,0.005360707322660688,0.0025971867348827844,0.0171049433772245,0.005149436520895746
cfall10,0.0225,0.22499999999999998,0.0,0.045,0.07086615460974971,0.05546766516058146,0.10421483959069744,0.08467707158979451,0.09061869388879862,0.046193780224614636
cfall11,0.035,0.35000000000000003,0.0,0.07,0.15312779284703795,0.15269268770613229,0.2549832661297731,0.03800306140269132,0.11832445110337797,0.059521633803798144
cfall12,0.005,0.05,0.0,0.01,0.005654924393452025,0.00555445498026768,0.005371567395649968,0.005114639338989442,0.013069284305250612,0.005443452835666928
cfall20,0.0035,0.035,0.0,0.007,0.011384588971345968,0.006303125993534476,0.0102816805660727,0.03434587384241567,0.024743015300564747,0.007000594209135495
cfall21,0.004,0.04,0.0,0.008,0.011559903357283026,0.004598308371668538,0.007176693767859643,0.015918072057049554,0.018857762927951494,0.007554286890344482
cfall22,0.0005,0.005,0.0,0.001,0.004087491726841472,0.004640930015917516,0.004007195645026901,0.004526854384472877,0.003146844886868243,0.0032195699189422606
