observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9
0.91,0.15211,0.93865,0.35699,0.81418,0.71711,1.28302,1.36718,1.26833,0.62818,0.65262
30.87,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,0.0,1.0e-5,1.0e-5,0.0
498.69,-0.35625,-0.03603,1.0e-5,-2.0e-5,1.0e-5,-0.00225,1.0e-5,-0.00195,-5.0e-5,-0.03148
0.41,0.42012,0.42012,0.09509,0.42012,0.37326,0.42012,0.42012,0.41888,0.41973,0.42003
2.47,1.61745,1.80352,1.82325,1.82977,1.77204,1.84439,1.85459,1.84265,1.74767,1.74682
11.82,1.71166,13.50006,4.72868,11.60923,10.17817,18.66483,19.92465,18.44464,8.84891,9.21647
0.99,0.04249,0.10811,0.05803,0.10343,0.08147,0.1495,0.1596,0.14773,0.07139,0.07377
8.33,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5
93.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.28,7.0e-5,9.0e-5,9.0e-5,9.0e-5,9.0e-5,9.0e-5,1.0e-5,9.0e-5,9.0e-5,5.0e-5
131.74,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5
5469.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731.99,52.73129,176.4381,0.0,183.19039,0.0,182.77328,0.0,182.82847,0.00095,177.30691
5.6,6.35444,6.35445,1.43834,6.35445,5.64853,6.35445,6.35445,6.33578,6.34856,6.35304
