observation,model,model_1
0.91,1.57269,1.64383
30.87,53.66465,58.05914
498.69,505.40039,559.85166
0.41,0.72271,0.75193
2.47,1.85462,1.79277
11.82,0.05446,0.1612
0.99,0.4001,0.78412
8.33,2.3724,3.45471
93.25,9.72522,0.13801
13.28,13.60658,25.09676
131.74,133.8371,48.47346
5469.13,5471.52563,5787.67002
731.99,729.47313,905.44569
5.6,8.44432,3.92014
0.05,0.03485,0.03364
0.16,0.00063,0.00188
0.01,0.00794,0.01556
0.41,0.10086,0.14687
2.37,0.21453,0.00304
0.11,0.23095,0.42599
7.04,6.19848,2.24498
107.98,93.63301,99.05437
1.08,20.46538,15.37012
0.1,0.13554,0.06291
