observation,model,model_1,model_2,model_3,model_4
0.91,1.4593,1.55429,1.6265,1.59718,1.54326
30.87,48.914,47.19371,52.47534,36.78499,30.30186
498.69,608.74528,539.39844,589.81021,421.83076,418.90402
0.41,0.78209,0.71505,0.4542,0.41032,0.81781
2.47,1.84877,1.86942,1.87292,1.86946,1.85508
11.82,0.03404,0.05369,0.5966,0.03894,0.0062
0.99,0.60238,3.14029,0.94644,2.48456,0.45275
8.33,5.19324,5.87376,5.12853,5.83126,6.06679
93.25,0.58507,7.3867,0.75821,1.99041,2.79069
13.28,22.35544,27.22165,15.15005,19.74113,82.45018
131.74,188.92807,182.90426,133.30253,157.08485,95.5396
5469.13,5473.21733,5467.63989,5669.35776,5258.76772,5550.97915
731.99,691.17832,712.15519,783.23525,826.32654,784.94524
5.6,16.5058,8.12154,7.95331,3.56813,52.93017
