parameters,dist_min,dist_max,weights,initialGuess,OF:9.200871447851189e-6,OF:0.000981432329766999,OF:0.008354421262399462
cmax0,3.5,35.0,100.0,7,6.993220364660742,6.99297852227955,6.99322714424622
cmax1,95.0,950.0,100.0,190,210.21107585399616,210.17757817953094,210.21118665137132
cmax2,490.0,4900.0,100.0,980,1033.4723647436604,1033.1130216257225,1033.4731984285545
cmax3,0.5,5.0,100.0,1,1.1107737331213325,1.1108018076462494,1.1107718583406336
