observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9
0.91,1.55755,0.98823,0.75033,1.50216,1.00538,1.24378,1.56062,1.55807,1.24565,0.14841
30.87,1.0e-5,1.0e-5,1.0e-5,0.0,1.0e-5,0.0,0.0,1.0e-5,1.0e-5,1.0e-5
498.69,0.0,1.0e-5,-1.0e-5,0.0,-0.00668,1.0e-5,0.0,0.0,-0.00268,-0.02736
0.41,0.42012,0.35756,0.42012,0.42012,0.42012,0.42012,0.21531,0.41544,0.42012,0.42012
2.47,1.87654,1.80923,1.77972,1.87016,1.83113,1.83989,1.87663,1.87658,1.8399,1.61607
11.82,22.77801,14.24398,10.67324,21.94735,14.48995,18.07565,22.82723,22.7858,18.10453,1.65242
0.99,0.18247,0.11407,0.08546,0.1758,0.12136,0.14478,0.18284,0.18253,0.145,0.04348
8.33,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,0.0,1.0e-5,1.0e-5,1.0e-5,1.0e-5
93.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.28,9.0e-5,9.0e-5,9.0e-5,2.0e-5,9.0e-5,1.0e-5,1.0e-5,9.0e-5,7.0e-5,9.0e-5
131.74,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5
5469.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731.99,183.12757,0.0,183.19993,183.19373,181.96158,0.0,183.19741,183.18812,182.70319,178.0954
5.6,6.35445,5.41347,6.35445,6.35445,6.35445,6.35445,3.26455,6.2837,6.35444,6.35445
