observation,model,model_1
0.91,1.5404,1.5377
30.87,50.94305,57.51248
498.69,529.62758,598.58259
0.41,0.69142,0.57888
2.47,1.85761,1.81937
11.82,0.13672,2.0e-5
0.99,0.69519,0.66861
8.33,5.44745,3.37357
93.25,1.97856,9.92369
13.28,16.9762,5.29033
131.74,185.52702,59.28162
5469.13,5466.73657,5402.16704
731.99,732.13596,667.7775
5.6,7.82263,9.35332
0.05,0.03494,0.04096
0.16,0.00159,0.0
0.01,0.0138,0.01327
0.41,0.23159,0.14342
2.37,0.04365,0.21891
0.11,0.28815,0.0898
7.04,8.59248,2.74555
107.98,93.54958,92.49397
1.08,12.42707,11.33468
0.1,0.12553,0.15863
