parameters,dist_min,dist_max,target_weights,initialGuess,OF:140338.4899511391,OF:203235.46660585198,OF:231017.43355866795,OF:239170.0578854227,OF:133670.86535297288,OF:317322.4361470423,OF:252298.14211513827,OF:4.772351075432862e6,OF:201968.64190516464,OF:278454.6213284942,OF:496785.36965723534,OF:252429.35875060732,OF:134325.09837052386,OF:202811.07357375868,OF:165332.2458643815,OF:386214.8815308733,OF:214023.76178620476,OF:116185.5468247585,OF:175023.0175600265
nmax0,1.5,15.0,1.0,3.0,14.741946612504389,8.651307159724336,5.174753098823383,2.092042895164136,14.445926999002825,14.558886678724335,5.545242308894277,9.898345883473851,5.524821636140058,11.86418996268276,1.7958738983624483,13.273112167261042,14.362928861548324,8.790721291438935,4.552326821149219,12.158483558358679,5.971600789745725,4.6467092457170285,14.134617158917552
nmax1,1.0,10.0,1.0,2.0,1.5374841482119195,5.113051567116793,1.1387003146067785,5.688362375006435,1.384938808687779,1.396901218109079,8.554117340201511,7.740046819034501,1.583107995773432,7.687471192771481,3.487719183202503,9.374614101113652,6.762850050515286,1.8966941322631008,6.234400277919141,6.50635526740569,4.9266008680617315,1.003796228170461,6.487040438814142
nmax2,3.25,32.5,1.0,6.5,4.145460100036084,4.094539751644998,4.192335668147657,4.252635760392504,4.161906132938881,4.353124026310005,4.209753218525401,3.278781467878222,3.816079349004581,28.740430836566883,4.192688614233852,23.763695211174284,4.441796203832739,31.015353325654115,4.365187166559867,3.549105649158551,4.119681084212018,4.179240680787006,4.301250356687456
nmax3,0.5,5.0,1.0,1.0,2.747889438759341,2.2184494852556567,4.908807498068641,2.535413717195462,1.178754516814956,0.9518725855855411,1.2840145196649155,3.522703031575294,1.7724331187846811,0.500004785683527,3.7575615901387818,4.935931322452211,1.2810659547180032,3.5312627249366195,4.204238775262507,2.2786936794604626,2.2092673740078403,2.86516173840291,4.7471721153815025
krb00,-30.0,-3.0,1.0,-6.0,-14.744470992633408,-9.135610752064263,-8.789604280875267,-29.896378706758433,-11.784164133406165,-29.886280522474443,-29.80507496975483,-21.14544430575061,-9.496479375677207,-28.90797609710107,-29.996967986792892,-6.95484402485782,-24.503681439217896,-3.6890044115163647,-6.3912918336602935,-28.65805362895826,-28.404020858310968,-10.387232570501919,-15.357296698216922
krb01,-15.0,-1.5,1.0,-3.0,-11.367931472799679,-3.135327529562586,-6.811463234299815,-3.068853171059388,-8.606080601722216,-14.72515661858904,-6.372166188099907,-9.111427487119181,-9.411989560119164,-6.684759035772741,-8.247376250765981,-10.856140825085301,-6.099620362683053,-9.588384748139815,-1.559892444999896,-14.28673570982557,-7.153464715533466,-14.95790050553718,-14.713442951000086
krb02,-15.0,-1.5,1.0,-3.0,-12.744853492292474,-6.7523276233168446,-12.672005710986989,-2.198198025953161,-6.314386369324096,-14.816445104220879,-4.690549388495734,-12.203465238967572,-11.648245219056497,-4.663683525907066,-14.989157578558798,-14.543672835328943,-14.859103763468669,-2.6707431156936057,-1.5467960631458677,-4.628106528431898,-6.730340465797314,-10.869305771241805,-3.983680587013307
krb03,-25.0,-2.5,1.0,-5.0,-24.89753261594082,-23.839221043493463,-10.68702346030372,-12.802173069647974,-16.79831610758554,-24.96859811456303,-5.076618715320333,-11.169572983791776,-17.97912559353456,-19.16494835083757,-24.606724154841473,-23.88076325507823,-11.619211359549148,-3.6887261123536597,-17.881315437044677,-6.225909814655868,-24.976645385027684,-18.59150065816272,-10.864502095534688
krb10,-25.0,-2.5,1.0,-5.0,-21.28715420211548,-4.946571904554332,-15.878129152271981,-24.69094286695351,-4.863787222972835,-4.670530491674537,-6.337336722484647,-23.33597805189997,-7.6662279491236625,-2.8133584187144542,-3.0027567119022045,-12.671653309827203,-18.187301588741708,-3.7010507835702704,-24.80351620856776,-24.97966180406336,-12.5797515225303,-9.013321639511659,-4.500256844943955
krb11,-20.0,-2.0,1.0,-4.0,-17.506420463389926,-19.999169549876505,-13.02816060560033,-7.894103431599557,-19.036927870451596,-7.867812276668877,-11.525869476257554,-4.009701855331546,-17.47162691705362,-4.319875956692302,-13.476687165668622,-2.1058989120730303,-18.097088780378552,-14.848431495738922,-2.040126332707139,-16.287723325288418,-19.707438314240026,-16.151079684701223,-2.185232040141674
krb12,-30.0,-3.0,1.0,-6.0,-27.97953605913564,-27.25849087127485,-28.913811678078396,-29.982292111994646,-22.17054067929594,-29.98346506010375,-26.269547744970794,-24.98728693495635,-17.645250024781344,-5.159502545229515,-10.234287503867577,-5.041934939234174,-28.205050084313953,-5.322960666669697,-13.850723670404278,-29.942781873338102,-23.475101807966254,-18.79385984232266,-29.790020367726857
