parameters,dist_min,dist_max,target_weights,initialGuess,OF:211443.084517144,OF:16284.536132669267,OF:58567.04028681193,OF:10472.204868185774,OF:37633.98773884524
nmax0,4.26,42.599999999999994,1.0,8.52,24.36426999404079,34.12216943437567,14.969043057571927,30.08720872099088,9.020986748111449
nmax1,2.59,25.9,1.0,5.18,17.236406703098364,10.123381144143401,2.967767724590927,4.083519557829456,24.27168321491602
nmax2,14.655,146.54999999999998,1.0,29.31,88.16562022286158,117.37170694337945,136.78563164728124,105.29176424417264,139.7254908146838
nmax3,1.57,15.700000000000001,1.0,3.14,5.27626439561048,12.732875910432524,15.09577782378213,15.000067560977344,13.628703782967094
krb00,-74.65,-7.465,1.0,-14.93,-69.63183685882382,-51.17474829328479,-30.819002549854723,-74.59481800081382,-74.64942626460915
krb01,-74.65,-7.465,1.0,-14.93,-32.00497873056329,-49.23416752601139,-57.669442710766035,-53.13897355507806,-35.338900515511895
krb02,-42.199999999999996,-4.22,1.0,-8.44,-12.751609479668758,-28.361682580067338,-41.02630471311091,-24.947652991666285,-24.617902002769313
krb03,-34.0,-3.4,1.0,-6.8,-26.161224902398704,-4.547146333074675,-16.95436151898952,-31.0112827733939,-31.97898193592987
krb10,-19.8,-1.98,1.0,-3.96,-11.766878308706248,-15.46010297415673,-2.1804489001635368,-13.353634148730887,-8.85398142564527
krb11,-14.1,-1.41,1.0,-2.82,-1.4198478076116992,-7.385034560819407,-14.023171904919682,-10.465340029107002,-13.043497092893247
krb12,-64.65,-6.465,1.0,-12.93,-33.538016027276484,-36.98073964697691,-32.37220855973035,-15.472976469847623,-58.17097493380234
krb20,-68.3,-6.83,1.0,-13.66,-27.662099902915003,-7.47174939697031,-41.402261513200635,-44.781300551774216,-35.75339656050571
krb21,-17.2,-1.72,1.0,-3.44,-2.247739910468143,-17.157239528633273,-16.89060983892567,-5.539721697843465,-17.19969594769253
krb22,-18.700000000000003,-1.87,1.0,-3.74,-2.5698849646410764,-5.438516985648164,-3.967954286495724,-4.314493333856468,-4.643982045381968
cfall00,0.00025,0.0025,0.0,0.0005,0.00045893937668965967,0.0006002169675997295,0.0024080948341677136,0.00040182213178650383,0.0022269950229734763
cfall01,0.0136,0.13599999999999998,0.0,0.0272,0.07165463888130379,0.1198238297486792,0.05630115766129722,0.01785117485023048,0.13462548551891534
cfall02,0.0175,0.17500000000000002,0.0,0.035,0.01753229719260042,0.10095090097344453,0.09473492702134392,0.0228821293839225,0.15997296494919255
cfall03,0.001,0.01,0.0,0.002,0.008265798623320017,0.0010071532781725419,0.0021429623838236087,0.006864371098549256,0.0038485930011813796
cfall10,0.11,1.1,0.0,0.22,0.6575585929282464,0.8796663019998412,0.7719582030854417,0.45645528254357626,1.0949465052198948
cfall11,0.06,0.6,0.0,0.12,0.12428855314374329,0.23074191201168892,0.20314998745863072,0.08872274413489603,0.07075573587935544
cfall12,0.0025,0.025,0.0,0.005,0.003996102966888233,0.00438796857794464,0.004277584013231474,0.0046071613169024715,0.003753543184002491
cfall20,0.0025,0.025,0.0,0.005,0.012031365694533898,0.01238930050013477,0.007894818698694924,0.012783552565965882,0.008377521931513695
cfall21,0.018,0.18,0.0,0.036,0.10834818027838555,0.03944217128568729,0.12484260962003162,0.11795163957164082,0.13169952336119364
cfall22,0.002,0.02,0.0,0.004,0.01994285490312899,0.014105156808799603,0.018273863487690237,0.01494564264812014,0.014163670976135162
