parameters,dist_min,dist_max,target_weights,initialGuess,OF:27110.925763846426,OF:26613.145160367665
nmax0,15.0,150.0,1.0,30.0,149.4164903173102,70.28142022089051
nmax1,8.0,80.0,1.0,16.0,42.07136900605292,77.37809120348287
nmax2,55.0,550.0,1.0,110.0,237.60387929982292,226.76809984727282
nmax3,6.5,65.0,1.0,13.0,18.993933852032743,34.790586028496634
krb00,-250.0,-25.0,1.0,-50.0,-136.88943182715866,-249.79992980142745
krb01,-250.0,-25.0,1.0,-50.0,-117.27135988586414,-61.60782207300949
krb02,-150.0,-15.0,1.0,-30.0,-118.07497983401137,-108.6715929252934
krb03,-100.0,-10.0,1.0,-20.0,-76.66141506899653,-74.68192933383116
krb10,-50.0,-5.0,1.0,-10.0,-48.91919551365648,-40.46990475935455
krb11,-50.0,-5.0,1.0,-10.0,-28.048447694126942,-5.343384923889474
krb12,-250.0,-25.0,1.0,-50.0,-245.76245511252506,-103.74603330629645
krb20,-225.0,-22.5,1.0,-45.0,-119.68876786520723,-178.76902012297236
krb21,-35.0,-3.5,1.0,-7.0,-20.504416034092408,-3.845375699903002
krb22,-25.0,-2.5,1.0,-5.0,-16.090695392313293,-3.767441272534999
cfall00,0.00075,0.0075,1.0,0.0015,0.005839077924320251,0.004646145198732097
cfall01,0.025,0.25,1.0,0.05,0.08351415304110649,0.037729993687534685
cfall02,0.0375,0.375,1.0,0.075,0.03793140965029228,0.1463895020990513
cfall03,0.003,0.03,1.0,0.006,0.004665282265568063,0.006784650581367094
cfall10,0.4,4.0,1.0,0.8,1.6520030171172762,3.3934845966464002
cfall11,0.1,1.0,1.0,0.2,0.10285612648051612,0.9861682380443643
cfall12,0.002,0.02,1.0,0.004,0.005570324392328118,0.0035297443302860707
cfall20,0.0065,0.065,1.0,0.013,0.04260464440985966,0.00841602795239829
cfall21,0.05,0.5,1.0,0.1,0.26079574326415095,0.1810689659325564
cfall22,0.0075,0.075,1.0,0.015,0.020655226844909037,0.009415660945529104
nfall00,0.005,0.05,0.0,0.01,0.018029147374917173,0.026019802223217058
nfall01,0.004,0.04,0.0,0.008,0.008550633399562113,0.028677987031856457
nfall02,0.004,0.04,0.0,0.008,0.00422429972998138,0.008661180228622648
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.019459207056998152,0.028389972321093575
nfall11,0.004,0.04,0.0,0.008,0.016440841641734184,0.007566700645875583
nfall12,0.004,0.04,0.0,0.008,0.01568826049032006,0.02152975232370439
nfall20,4.0e-5,0.0004,0.0,8.0e-5,0.0001742469700000199,0.00011347128229691962
nfall21,4.0e-5,0.0004,0.0,8.0e-5,6.480815347255741e-5,6.907219530196176e-5
nfall22,4.0e-5,0.0004,0.0,8.0e-5,6.85929979192351e-5,5.5779692468672636e-5
nfall23,4.0e-5,0.0004,0.0,8.0e-5,8.533884748344395e-5,0.00013539501884681724
