parameters,dist_min,dist_max,target_weights,initialGuess,OF:561827.4243655825,OF:296310.80070798344,OF:330405.4814832296,OF:150721.1880102068,OF:114646.68471403037,OF:139248.71831487305,OF:103868.90666837263,OF:190417.7068325982,OF:102000.93713518961,OF:289282.9617546471,OF:355261.978689652,OF:261401.76158035692,OF:399870.46574624203,OF:4.538946508633004e6,OF:285203.233424022,OF:173860.86489681125,OF:148956.74666455647,OF:269231.2567832877,OF:28916.141317106536,OF:16850.00672098965
nmax0,1.5,15.0,10.0,3.0,4.578887104915459,2.1603403342914076,11.130008099745059,13.884239982205136,14.523307580666339,5.258298802583142,1.5002211111042263,14.519919761128618,4.3696696857460005,1.6307700255318713,10.426867912956736,1.5936794820408804,5.4485492706409655,1.5762904771658517,11.805775241344385,8.710229080963831,1.9098473164389962,11.816626233898765,12.549981358196908,12.048891003090906
nmax1,1.0,10.0,10.0,2.0,8.765276534529338,2.524794408211073,5.126704430361047,1.0404831088678037,7.652093675545368,1.120567899419704,2.575278264223895,1.9394935323254983,1.3083389997089137,5.498928605422936,1.5621868287481708,1.5925074296578372,6.970648042002698,2.560014747200801,1.1300541140392755,6.404234283719717,9.338489686425703,2.3096539193549797,9.437442729823251,4.187734409794528
nmax2,3.25,32.5,100.0,6.5,3.6632163101028317,4.8506254997890395,4.677544167567846,4.224193316121814,20.52560466551035,4.245833908198593,4.24332111686942,4.005914748709559,23.670181499726027,19.76093860479714,4.056065058378809,4.020947603277528,4.531416097577967,3.2525983661652598,6.030084999834745,8.355354953927382,4.326428463667241,4.920774778297475,26.892446244338274,30.78883527102153
nmax3,0.5,5.0,10.0,1.0,2.7651693602285956,3.897866041960079,3.937277835238269,1.2500291913232935,1.17278829103716,1.9635247220053647,1.103004079094264,2.313184862641558,2.8959872602170402,2.405657194178044,3.4792030584024274,2.5829642403386686,3.532440481867845,3.2363112520802866,3.103912809896197,3.04605526574464,2.3198978753217983,4.109157184866375,4.9985380973655795,3.0950782872996516
krb00,-30.0,-3.0,10.0,-6.0,-26.48315477629232,-6.5744824922674425,-4.008974776217855,-20.745445849441843,-19.348067487423158,-4.949230267799489,-20.35694965140953,-29.984538241144367,-22.866924594378162,-29.99389099938769,-25.18905755237472,-29.291129141226463,-8.340080722159072,-20.16161975746075,-28.452815272854505,-14.872619513999332,-3.738031586852294,-25.227098157768218,-14.818444474673749,-21.168089818155003
krb01,-15.0,-1.5,10.0,-3.0,-6.174231424085704,-2.3566193546781236,-6.373315573107714,-9.776585157428226,-2.721697663362127,-7.99496159515031,-2.8036490810587935,-14.923279299025973,-10.741778189885686,-3.1000145481624415,-9.377204300342347,-3.108257450281961,-12.619330164207266,-14.091952371682922,-10.670820615426273,-8.483941681168538,-10.953223375366543,-14.972579416260926,-3.6095570449082945,-14.977501044439455
krb02,-50.0,-5.0,10.0,-10.0,-1.81160965639992,-14.83503096117951,-9.187529944887016,-8.765944915499059,-10.41382088831084,-14.031074148544207,-8.548827769392783,-13.611097541284774,-14.027329808312915,-5.748102090899621,-2.313458555105603,-7.230981515902885,-1.5008104387068038,-3.5797933298779387,-4.9072773549215505,-7.6919036985163025,-9.145161098619436,-12.044921897297588,-3.8593707603004184,-3.7432160423911576
krb03,-25.0,-2.5,10.0,-5.0,-16.0757889718397,-6.467027495635648,-5.045015146309876,-2.5012799486853403,-16.16780543968313,-13.428622866788778,-4.041327311220861,-8.912236301879137,-23.685668870042637,-24.586286922737454,-23.033639997155166,-5.176301443240618,-24.996551828201305,-11.349404926474577,-22.564557374802792,-8.270906256981213,-13.185352368629783,-23.67682758804441,-3.687953887667632,-6.939516416008001
krb10,-25.0,-2.5,10.0,-5.0,-22.17158455894011,-23.266677584945562,-24.704743117146773,-20.389743338966795,-4.54681161142738,-10.411751989988103,-2.5665895455224934,-24.71480069516943,-22.840059448272623,-19.730956651169095,-17.792696751345716,-11.890748059579076,-15.718654487350257,-5.880385119263465,-5.1846016193273385,-10.417350129907158,-12.042165506808752,-24.619162943616313,-15.344005490437324,-12.076326373162011
krb11,-20.0,-2.0,10.0,-4.0,-2.6170530861168473,-18.94128491467867,-2.000823572729928,-15.20498282339878,-17.890983152042477,-16.62156193951873,-13.125489418351988,-12.01416908233302,-18.264009942516328,-14.74012282393565,-13.504124259375516,-19.159663015502087,-17.97748655257338,-11.933134387077224,-4.882541470796518,-19.844483716010227,-3.2194086423055914,-7.194327543601744,-7.023407037347225,-9.127257864077414
krb12,-60.0,-6.0,10.0,-12.0,-13.704053010403964,-6.787640006438412,-9.988469932757337,-16.66970333928888,-5.225391261893478,-28.046125674040706,-27.765569029388892,-29.999151043893637,-5.183511685890284,-5.0761151859404166,-7.4633610852114,-8.915176373740877,-20.04952986228175,-22.47321868804798,-5.94017773958095,-5.161953176007206,-29.270362473648973,-6.938274854938346,-8.973888413285849,-27.728425084531665
krb20,-40.0,-4.0,100.0,-8.0,-26.603408608701702,-6.64214234169372,-34.53847401489563,-16.233498537291258,-38.37048592771382,-15.39043416452692,-37.9233665478945,-39.259458954619745,-34.51232314492546,-32.58608842613809,-26.0218252628416,-38.02979678003894,-38.98035066914909,-10.452399320663318,-26.058408172016076,-39.99998603963954,-9.61878499140255,-36.72782654457844,-37.351312546419194,-14.04247771307028
krb21,-30.0,-3.0,100.0,-6.0,-20.4917154102074,-23.85328968580963,-29.953828628386923,-16.061170774332695,-3.1084473697116373,-18.462435151746394,-3.240201792765884,-29.990935359727942,-28.111337017475563,-27.41174175104637,-11.830935905824195,-16.66505081440299,-23.28539183863234,-4.428672971231485,-29.86130650809269,-3.514926867352745,-23.238207706261733,-27.440813585062614,-17.85603499023007,-24.22603906145521
krb22,-25.0,-2.5,10.0,-5.0,-2.501906127005668,-3.0935212908266188,-3.6574052486357935,-4.042915251114351,-3.0998446339288357,-3.792281049707718,-4.029346649197297,-4.0421864377093115,-3.412520075619465,-2.734220450822651,-4.5996048785566686,-3.6644512789076487,-3.0751311884133763,-23.574422066906216,-3.29226121137415,-3.3730798866249856,-4.079401241596976,-3.3701265240007743,-4.586612387940544,-5.976850516043793
