observation,model,model_1,model_2,model_3,model_4
0.91,1.37301,1.50966,1.51474,1.56689,1.39053
30.87,0.0,0.0,0.0,0.0,0.0
498.69,5.0e-5,5.0e-5,5.0e-5,5.0e-5,5.0e-5
0.41,0.70682,0.70681,0.64234,0.70682,0.70682
2.47,1.85096,1.86316,1.86352,1.86821,1.85251
11.82,0.02098,0.0233,0.02338,0.02426,0.02128
0.99,0.12477,0.13742,0.13789,0.14272,0.12639
8.33,0.0,0.0,0.0,0.0,0.0
93.25,0.0,0.0,0.0,0.0,0.0
13.28,0.0,0.0,0.0,0.0,0.0
131.74,3.0e-5,3.0e-5,3.0e-5,3.0e-5,3.0e-5
5469.13,0.0,0.0,0.0,0.0,0.0
731.99,0.0,0.0,0.0,0.0,0.0
5.6,6.2727,6.27266,5.71048,6.2727,6.2727
