parameters,dist_min,dist_max,target_weights,initialGuess,OF:36408.78078169941,OF:60944.40607404957
nmax0,1.5,15.0,1.0,3.0,8.635012849073812,9.194921246716891
nmax1,1.25,12.5,1.0,2.5,10.742547280468914,11.706612862668887
nmax2,3.5,35.0,1.0,7.0,34.89965162686296,23.96635575507446
nmax3,0.5,5.0,1.0,1.0,3.201335756847346,1.6380189459385042
krb00,-31.0,-3.1,1.0,-6.2,-21.984296532922908,-30.03290311387709
krb01,-17.5,-1.75,1.0,-3.5,-16.286129627453473,-16.865730685996407
krb02,-17.5,-1.75,1.0,-3.5,-16.425820674014414,-11.1895611975384
krb03,-25.25,-2.525,1.0,-5.05,-25.237204942379897,-18.83168328188359
krb10,-26.0,-2.6,1.0,-5.2,-25.44002277593879,-25.87181164859204
krb11,-22.5,-2.25,1.0,-4.5,-19.186450044626728,-21.524736688412933
krb12,-32.5,-3.25,1.0,-6.5,-32.34911316914393,-28.34506428318265
krb20,-41.0,-4.1,1.0,-8.2,-31.72977394947422,-33.08391202233871
krb21,-31.5,-3.15,1.0,-6.3,-31.421032039755026,-28.801470769610695
krb22,-27.5,-2.75,1.0,-5.5,-26.62232415235345,-26.140300583127317
cfall00,0.00075,0.0075,1.0,0.0015,0.0007908075283955796,0.004619540286073259
cfall01,0.025,0.25,1.0,0.05,0.17788985522451317,0.03784048558579786
cfall02,0.0375,0.375,1.0,0.075,0.03845179440147152,0.37489620546894287
cfall03,0.003,0.03,1.0,0.006,0.025704900331322,0.007029825567275769
cfall10,0.4,4.0,1.0,0.8,3.0746518953042545,0.5319953889996291
cfall11,0.1,1.0,1.0,0.2,0.13976723119244758,0.27916489519481125
cfall12,0.002,0.02,1.0,0.004,0.005646707619855796,0.002184102664713174
cfall20,0.0065,0.065,1.0,0.013,0.007330706498480121,0.006667544835396895
cfall21,0.05,0.5,1.0,0.1,0.13919504495469165,0.3045581601242835
cfall22,0.0075,0.075,1.0,0.015,0.02354231903968798,0.0075594305336171876
nfall00,0.005,0.05,0.0,0.01,0.008477331479774704,0.013398674165816086
nfall01,0.004,0.04,0.0,0.008,0.026281454768575605,0.004202277577336624
nfall02,0.004,0.04,0.0,0.008,0.005089363846344576,0.03990711921355096
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.012927953047481854,0.01873662394669541
nfall11,0.004,0.04,0.0,0.008,0.03874660640327261,0.01463516193405535
nfall12,0.004,0.04,0.0,0.008,0.02925649174818448,0.037337598340541296
nfall20,4.0e-5,0.0004,0.0,8.0e-5,4.003118152894316e-5,0.0003552321652013292
nfall21,4.0e-5,0.0004,0.0,8.0e-5,0.0001390642495478013,4.956369937877713e-5
nfall22,4.0e-5,0.0004,0.0,8.0e-5,0.00034379029242097796,5.518954269827928e-5
nfall23,4.0e-5,0.0004,0.0,8.0e-5,5.774669981480689e-5,0.00010363648872996184
