parameters,dist_min,dist_max,target_weights,initialGuess,OF:142413.0427537664,OF:194133.84303239768,OF:306668.68259115185,OF:199892.7682474794,OF:137904.1689712104,OF:255527.42806313117,OF:178047.4827129275,OF:391796.7622242291,OF:283745.4067379678,OF:4.281336585719511e6
nmax0,1.5,15.0,1.0,3.0,14.676483724281969,13.896216801589198,14.925003927594657,1.765082624930563,3.606629939692984,5.368305912888244,3.953075293978433,9.152284888985081,1.6104317785527411,10.487496611643923
nmax1,1.0,10.0,1.0,2.0,1.046757938334187,4.731219466550847,3.46234019780566,1.0202277140826737,2.9449351709650475,2.4395813956610977,1.4832857064461091,9.789101272127366,6.55217527102034,5.080564216111547
nmax2,3.25,32.5,1.0,6.5,4.307524108185012,29.573236624677335,7.239576933592199,4.446867386253542,4.345368848657538,4.340847423472144,4.489969369958725,4.462848093153758,4.196223776019835,3.254949490065886
nmax3,0.5,5.0,1.0,1.0,1.3243598924203281,3.6802608267248296,0.727066520933598,3.2769010454394873,3.048047493576537,4.954714281057167,4.280068655949897,3.455263214448668,4.0900681938273635,1.8124647998897419
krb00,-30.0,-3.0,1.0,-6.0,-25.470374991024883,-22.14128268740283,-8.449664422480836,-28.927665401332774,-20.910715332221017,-29.55698528534223,-5.155630672303211,-27.11177521034368,-27.805763154788632,-15.13524863144443
krb01,-15.0,-1.5,1.0,-3.0,-14.777928471121031,-11.787430766774392,-1.6191519976144981,-10.074540544542085,-11.694098641513268,-14.878602946624394,-12.040953951138924,-8.261743638664353,-1.5081429665486983,-14.937340308091542
krb02,-15.0,-1.5,1.0,-3.0,-12.786160899336982,-7.9331785961279015,-10.210741548489887,-1.9951705957114338,-3.7521213931184754,-14.919451598102354,-5.946451339804991,-14.303543837762005,-14.462857454318149,-1.7114918427491226
krb03,-25.0,-2.5,1.0,-5.0,-11.565696577679878,-22.314322471153034,-23.007064230520545,-17.85530580417176,-22.941744613938045,-18.021421840175773,-5.4801323134810325,-19.037311360002246,-24.81415388105253,-21.192599645627578
krb10,-25.0,-2.5,1.0,-5.0,-4.322215603027406,-24.88738577281492,-3.9245885410724846,-5.0651870255225155,-3.350217244412047,-21.12009221409968,-10.401256078288215,-7.564145656091924,-5.199802486183415,-19.277929026288394
krb11,-20.0,-2.0,1.0,-4.0,-12.371682171348914,-19.445574557023257,-18.0054039852642,-17.46868779856659,-3.349428450354118,-19.999800617696806,-2.034640360329309,-18.312972781193846,-19.96832967115053,-6.5007597241496065
krb12,-30.0,-3.0,1.0,-6.0,-27.338190450282816,-5.166076810822769,-5.037798384268555,-26.9928287486979,-29.18109124711471,-28.977367179329246,-7.432490280307707,-28.134191610632215,-17.081233387803138,-23.746201920878676
krb20,-40.0,-4.0,1.0,-8.0,-30.643769268358163,-35.91265318601736,-39.151316571680326,-38.40878339983345,-15.802938946339026,-29.19984342286316,-39.54892567796117,-36.505550092535756,-31.03714117865049,-36.737741489016805
krb21,-30.0,-3.0,1.0,-6.0,-28.89305015401851,-29.916989306697143,-29.143062742876964,-17.93598373777608,-19.838375281253185,-28.949076012978754,-28.042879629654223,-3.1813375589098882,-29.536552782127472,-3.7849528109006627
krb22,-25.0,-2.5,1.0,-5.0,-3.7879531986047468,-3.3640853217706734,-2.5103055225092312,-3.968675177476932,-4.069749946190516,-3.620734264206515,-3.5470218525011674,-2.5640117136859217,-3.817334444951374,-24.78936968103703
