parameters,dist_min,dist_max,target_weights,initialGuess,OF:26328.338722303124,OF:12660.267891920883,OF:60190.21115872169,OF:68258.65420253391,OF:32533.603066246756
nmax0,4.26,42.599999999999994,1.0,8.52,33.476114642779464,31.800017561806648,15.373754857374413,31.74824396604516,23.04115031453623
nmax1,2.59,25.9,1.0,5.18,14.72895931731234,13.450985826066733,21.803273563535143,18.236101331902,4.818207309011536
nmax2,14.655,146.54999999999998,1.0,29.31,61.63637199486166,16.158506763229646,42.33973489750917,133.06204528341445,20.68362862211662
nmax3,1.57,15.700000000000001,1.0,3.14,13.652958627023562,15.543081991159493,3.023766970210801,10.53709347687509,15.658679651360963
krb00,-74.65,-7.465,1.0,-14.93,-67.5483156538147,-13.634510614697284,-57.80656535291958,-9.703910545945703,-39.91627209152534
krb01,-74.65,-7.465,1.0,-14.93,-7.502095002304927,-50.38143047446114,-73.22864448859826,-31.44079785987411,-53.98811990240499
krb02,-42.199999999999996,-4.22,1.0,-8.44,-32.829398142553345,-22.404572384219904,-24.457185483390727,-8.607367542775833,-13.640961731623197
krb03,-34.0,-3.4,1.0,-6.8,-13.250582953240247,-22.491652200113684,-5.789002276949539,-4.882980075866083,-22.11411702169309
krb10,-19.8,-1.98,1.0,-3.96,-3.842377721054877,-6.839086319366551,-11.10657125561887,-11.985353755278124,-3.185139795616891
krb11,-14.1,-1.41,1.0,-2.82,-2.1337018619583574,-9.064050970913792,-2.136383375170073,-2.388855493819973,-11.378381795871734
krb12,-64.65,-6.465,1.0,-12.93,-59.31131360261599,-63.07493504433521,-41.9510302272205,-17.62372413701133,-48.98433317322274
krb20,-68.3,-6.83,1.0,-13.66,-38.73483059401367,-15.612975609033313,-61.56153658923459,-7.415994915806991,-13.362109672863383
krb21,-17.2,-1.72,1.0,-3.44,-6.086359769432557,-3.967711612316105,-5.820117498698286,-1.816848858211614,-3.5689032200731923
krb22,-18.700000000000003,-1.87,1.0,-3.74,-4.3410445703701885,-4.2381103530784205,-4.201082875184104,-5.946655108737714,-3.299178336361271
cfall00,0.00025,0.0025,0.0,0.0005,0.0024093521048289034,0.0007572762906339867,0.0003255132650842,0.000811812242160047,0.002062599196835739
cfall01,0.0136,0.13599999999999998,0.0,0.0272,0.04033852976439071,0.019786459811436938,0.04302969713848126,0.02115485040443974,0.014304587491897067
cfall02,0.0175,0.17500000000000002,0.0,0.035,0.03284632496987232,0.034036619240339794,0.10351215267019381,0.04606812685633069,0.17496748625554392
cfall03,0.001,0.01,0.0,0.002,0.003960876993578159,0.007383343340119954,0.004798911448791188,0.00960082314689744,0.0012254685188222102
cfall10,0.11,1.1,0.0,0.22,0.7066862764778021,0.631143208376742,0.1848047048937323,0.7047309828854057,1.0997073073207446
cfall11,0.06,0.6,0.0,0.12,0.5961069390934325,0.15106072751795593,0.5540981875245071,0.318717997923717,0.24589676098908206
cfall12,0.0025,0.025,0.0,0.005,0.005646782582808752,0.004843366728954761,0.004211313356051639,0.0038039742181389734,0.002500575665677395
cfall20,0.0025,0.025,0.0,0.005,0.016625035592380398,0.0034909384475790774,0.012176139565999099,0.00439278801098178,0.023533996075807275
cfall21,0.018,0.18,0.0,0.036,0.11693857153385023,0.09420748300178672,0.17365314847491597,0.09091794733976045,0.018964554088824803
cfall22,0.002,0.02,0.0,0.004,0.019971563441197056,0.016331239419901458,0.012835573779692643,0.011138606488081064,0.002133879309096051
