parameters,dist_min,dist_max,target_weights,initialGuess,OF:14128.250973594013,OF:23272.516229595494
nmax0,15.0,150.0,1.0,30.0,148.60621668916298,37.01155769286835
nmax1,8.0,80.0,1.0,16.0,64.11790488248805,19.124719421195877
nmax2,55.0,550.0,1.0,110.0,141.71748294842138,434.01460951400765
nmax3,6.5,65.0,1.0,13.0,37.119949827908286,15.361316413046092
krb00,-250.0,-25.0,1.0,-50.0,-218.67344967480756,-144.10549054471036
krb01,-250.0,-25.0,1.0,-50.0,-210.79901457051884,-189.853221858446
krb02,-150.0,-15.0,1.0,-30.0,-104.59530704168031,-109.00255711636603
krb03,-100.0,-10.0,1.0,-20.0,-21.30920967102611,-68.45426767880632
krb10,-50.0,-5.0,1.0,-10.0,-6.466747767745261,-25.043186109557745
krb11,-50.0,-5.0,1.0,-10.0,-45.16799792673322,-49.97405147625026
krb12,-250.0,-25.0,1.0,-50.0,-216.51184100903788,-172.98659770073635
krb20,-225.0,-22.5,1.0,-45.0,-184.52786035974515,-38.55138585597638
krb21,-35.0,-3.5,1.0,-7.0,-12.677175750014023,-28.437448600816207
krb22,-25.0,-2.5,1.0,-5.0,-13.372629600303185,-23.406771495405835
cfall00,0.00075,0.0075,1.0,0.0015,0.000949527004476283,0.00212877057586508
cfall01,0.025,0.25,1.0,0.05,0.036233558685293155,0.16675524250607449
cfall02,0.0375,0.375,1.0,0.075,0.2316610638259706,0.22064871758651286
cfall03,0.003,0.03,1.0,0.006,0.0032106449401188295,0.016127300914085662
cfall10,0.4,4.0,1.0,0.8,0.5131895418185133,0.4903232883925552
cfall11,0.1,1.0,1.0,0.2,0.9321916873684565,0.9782881479492828
cfall12,0.002,0.02,1.0,0.004,0.0030546383273284934,0.0028152368310763137
cfall20,0.0065,0.065,1.0,0.013,0.007391100321359768,0.02249878870008067
cfall21,0.05,0.5,1.0,0.1,0.3687876867371771,0.08733175051655194
cfall22,0.0075,0.075,1.0,0.015,0.01053957451315421,0.010452575070355467
nfall00,0.005,0.05,0.0,0.01,0.012536278568268881,0.026953228107083144
nfall01,0.004,0.04,0.0,0.008,0.00402082135121701,0.004246027873790619
nfall02,0.004,0.04,0.0,0.008,0.011206829438516145,0.011728325315124346
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.015660436148868518,0.025968306573761053
nfall11,0.004,0.04,0.0,0.008,0.010382056496389735,0.00402986159018503
nfall12,0.004,0.04,0.0,0.008,0.01709392598870215,0.03738414335662652
nfall20,4.0e-5,0.0004,0.0,8.0e-5,4.877579406035224e-5,0.00029358169792783326
nfall21,4.0e-5,0.0004,0.0,8.0e-5,0.0002234736617209128,0.0001280788399684068
nfall22,4.0e-5,0.0004,0.0,8.0e-5,7.80188681980615e-5,4.0737798985422636e-5
nfall23,4.0e-5,0.0004,0.0,8.0e-5,0.00023148878932946124,7.548938595748375e-5
