obs_id,observation,model,model_1,model_2,model_3,model_4
o1,0.91,1.5482768898556292,1.6262593975604935,1.4674202630694815,1.5523097388170224,1.627166233536163
o2,30.87,35.0776433702557,54.10695683595024,54.15438729717634,52.28080392011016,56.317180785582835
o3,498.69,382.5827213515824,558.2308693497052,544.131795644691,492.5256576691785,482.8907422215783
o4,0.41,0.7083248316545443,0.06513642396312207,0.8145372734892125,0.714222737401061,0.8279359012836991
o5,2.47,1.873719322681427,1.8663918733596803,1.850954246520996,1.8717310309410096,1.8532085776329041
o6,11.82,0.04733485020697117,0.017914344556629658,0.02246427219361067,0.1254842296242714,0.007225278951227665
o7,0.99,0.9071055054664612,0.9171613276004791,1.2833255410194397,0.8574836015701294,1.3319987773895263
o8,8.33,4.537819576263428,3.567151141166687,4.817810678482056,5.9340005874633786,3.3939863443374634
o9,93.25,5.578670406341553,4.549973392486573,5.619403076171875,14.561564922332764,18.12374610900879
o10,13.28,15.731759357452393,71.6411506652832,22.757705688476562,24.112500190734863,21.341303443908693
o11,131.74,195.61341857910156,128.17323608398436,137.14552154541016,190.92142333984376,99.92727203369141
o12,5469.13,5618.0583984375,5485.37685546875,5494.650927734375,5471.325341796875,5526.504052734375
o13,731.99,327.2228271484375,754.0363830566406,515.9206970214843,734.5072814941407,569.4847625732422
o14,5.6,7.157616090774536,5.386611747741699,31.523547744750978,8.696795082092285,17.888103866577147
