observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9
0.91,1.11639,0.8948,0.58374,1.18743,1.22138,1.03902,1.00051,0.12077,1.12872,0.36461
30.87,1.0e-5,1.0e-5,0.0,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,0.0,1.0e-5
498.69,-0.00173,0.0,-0.0,-1.0e-5,1.0e-5,0.0,0.0,-0.0,0.0,-0.33198
0.41,0.41999,0.42012,0.42012,0.42012,0.42012,0.42012,0.36776,0.42012,0.42012,0.42012
2.47,1.82461,1.79874,1.71374,1.83299,1.83714,1.81551,1.81077,1.46145,1.82623,1.85881
11.82,16.16614,12.84233,8.19258,17.23138,17.74092,15.00618,14.42856,1.30819,16.35098,4.8206
0.99,0.12947,0.10283,0.06556,0.13801,0.14209,0.12017,0.11554,0.03026,0.13095,0.06826
8.33,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5
93.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.28,9.0e-5,9.0e-5,1.0e-5,9.0e-5,9.0e-5,9.0e-5,9.0e-5,9.0e-5,1.0e-5,9.0e-5
131.74,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5,1.0e-5
5469.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731.99,182.92735,183.18825,183.16732,183.22062,3.0e-5,183.18831,0.0,183.18721,183.21768,97.9827
5.6,6.3524,6.35445,6.35445,6.35445,6.35445,6.35445,5.56611,6.35445,6.35445,6.35445
