parameters,dist_min,dist_max,target_weights,initialGuess,OF:6.14890247251531e6,OF:7.315242602333083e6,OF:9.106089813226849e6,OF:4.745267614104892e6,OF:1.8254743573225376e6
nmax0,1.5,15.0,1.0,3.0,12.121126765443073,3.993405810577439,5.470425404977098,10.82106519433016,8.52266089756214
nmax1,1.0,10.0,1.0,2.0,2.9029297870037047,9.856469517564385,9.852806268532214,9.251144586902521,5.179902189620696
nmax2,3.25,32.5,1.0,6.5,12.517199830866204,5.096298586743547,6.262863098191785,7.096201943849838,29.31427014047769
nmax3,0.5,5.0,1.0,1.0,2.6547186971048022,1.4663759865078125,3.3814069034825622,2.511371055636796,3.1356490598560023
krb00,-30.0,-3.0,1.0,-6.0,-10.177515643892445,-22.01728703474796,-29.976463068666646,-25.79880384235098,-14.933470173551536
krb01,-15.0,-1.5,1.0,-3.0,-10.288531970375693,-9.381243328247233,-14.99995457178042,-8.130498910565333,-14.925837563690228
krb02,-15.0,-1.5,1.0,-3.0,-14.386582357311337,-5.220962942073411,-14.470949473228256,-14.96619310276994,-8.448341591167525
krb03,-25.0,-2.5,1.0,-5.0,-3.701593621234256,-7.321433028758456,-18.986384242003968,-6.078054078824778,-6.813401440027853
krb10,-25.0,-2.5,1.0,-5.0,-17.968186104653938,-15.151848793214043,-18.67217249107398,-19.179401308155224,-3.9680317743253717
krb11,-20.0,-2.0,1.0,-4.0,-2.2645591464694697,-14.707850974599552,-10.179052823418134,-14.52961203163694,-2.8287077250004913
krb12,-30.0,-3.0,1.0,-6.0,-25.86161980944918,-18.66970641837522,-29.902303511970057,-27.116768533575033,-12.9313269462256
krb20,-40.0,-4.0,1.0,-8.0,-8.885225579088456,-37.330557301034396,-37.05317027965993,-19.925420925825033,-13.66686796070534
krb21,-30.0,-3.0,1.0,-6.0,-10.60356157227453,-17.63218794915781,-6.1871955477035385,-27.31376017017531,-3.441652196740449
krb22,-25.0,-2.5,1.0,-5.0,-19.310524929054232,-14.452736487716377,-2.7974705284446024,-2.582743155546922,-3.741735098750052
cfall00,0.0005,0.005,0.0,0.001,0.0014322650151385617,0.0025990168656331754,0.0008770469028670641,0.004494576365060809,0.0005009732306398415
cfall01,0.025,0.25,0.0,0.05,0.08102456733605413,0.1830200274173674,0.24987603198181935,0.02775033616930693,0.027277286512273763
cfall02,0.03,0.3,0.0,0.06,0.04022837495427073,0.042596649894930234,0.09709960528639411,0.08964692921475148,0.03465478914112137
cfall03,0.0025,0.025,0.0,0.005,0.022393239500031803,0.005748214426291596,0.005040859448397644,0.012274162394581355,0.002735144032209105
cfall10,0.0225,0.22499999999999998,0.0,0.045,0.1109512648493169,0.2037772474512906,0.0614953232167896,0.08483710757771919,0.21789132945267564
cfall11,0.035,0.35000000000000003,0.0,0.07,0.28847962065360416,0.29654756426593587,0.04194963958833664,0.037907273936493714,0.12479590336548049
cfall12,0.005,0.05,0.0,0.01,0.005170118266242352,0.005411293851828071,0.005065503254343228,0.00501066365965805,0.005053156506462949
cfall20,0.0035,0.035,0.0,0.007,0.024634943629456015,0.004336082620335014,0.022294158707266674,0.0048411627899698365,0.005661328374084983
cfall21,0.004,0.04,0.0,0.008,0.01715047404066655,0.017778282550063335,0.03738811813001058,0.00943474576153484,0.036286499982245195
cfall22,0.0005,0.005,0.0,0.001,0.0046512653428860355,0.004928068777037296,0.0005109205882380535,0.0005659753743581399,0.0048105096900526315
