obs_id,observation,model
o1,0.91,1.4450951511667882
o2,30.87,17.703211557585746
o3,498.69,382.6678678978741
o4,0.41,0.3963050718070008
o5,2.47,1.8636261701583863
o6,11.82,2.350118374824524
o7,0.99,1.453703761100769
o8,8.33,4.76177716255188
o9,93.25,8.712312126159668
o10,13.28,94.07469940185547
o11,131.74,160.4211669921875
o12,5469.13,3305.6237060546873
o13,731.99,2008.75576171875
o14,5.6,6.42294750213623
