parameters,dist_min,dist_max,target_weights,initialGuess,OF:5.341558544232325e6,OF:233268.92384406037,OF:361017.5887661488,OF:2.9078300887366952e6,OF:115094.96550266836,OF:556157.2389372203,OF:8.579290023339123e6,OF:5.117752759127569e6,OF:139334.04626330073,OF:82954.00196659962
nmax0,1.5,15.0,1.0,3.0,8.13019929961246,8.19939645895419,10.703580086677194,10.794122459207621,7.158368784624665,12.297124727284903,13.858003918832027,1.8830766200590578,2.3840149212823225,10.52354344262302
nmax1,1.0,10.0,1.0,2.0,3.725438892922207,1.9099522980048174,2.8856294306013286,6.088960856846818,1.0126772755403357,1.8162276508297808,1.0311755701774152,4.746081590857578,1.2639368214089877,6.025000757255386
nmax2,3.25,32.5,1.0,6.5,3.3008944635011126,4.053104103392292,4.308105507486046,3.573629233335004,4.212226040476234,3.551458484800932,3.7264949515471057,3.2513827071727244,4.32998893597144,30.099970119890983
nmax3,0.5,5.0,1.0,1.0,4.980235017891687,4.607527042562147,3.740518221031067,2.939378663551287,3.0993845408402345,4.483956443000443,1.901667908287675,3.952508803777772,2.7884518356626984,1.5875295557537419
krb00,-30.0,-3.0,1.0,-6.0,-28.792735368496448,-3.679845512619064,-28.981928812529215,-26.439158097780172,-23.68664419700992,-3.094158170770914,-5.05388451199579,-29.5994799942648,-27.911407038267452,-19.681158265491362
krb01,-15.0,-1.5,1.0,-3.0,-8.424179960756378,-10.326747367933288,-12.135658130737674,-3.109777134835099,-14.492952759613676,-2.308402953842858,-1.5219345257312522,-14.767952075683798,-5.263736929350744,-8.351994900600666
krb02,-15.0,-1.5,1.0,-3.0,-7.6947100234224495,-10.394788071797073,-14.869889401527681,-3.4685673163570865,-14.611646005961356,-9.356203327892786,-4.8949620596949455,-14.391012568614315,-2.7537398706439244,-8.68263042049887
krb03,-25.0,-2.5,1.0,-5.0,-20.09533669679398,-5.2754868920035385,-24.957627647379336,-23.339773542738012,-23.315750773811775,-24.255849112845773,-4.211635953206308,-8.012035276772924,-17.0570822308822,-17.516129433174648
krb10,-25.0,-2.5,1.0,-5.0,-3.786758380548889,-3.7550168101734513,-2.782992760915114,-24.588206300267686,-10.914253021156062,-10.619770744624372,-11.644727939188119,-19.320995115578032,-11.568472385755825,-6.476687353117917
krb11,-20.0,-2.0,1.0,-4.0,-18.93321288274789,-2.177813517776432,-17.449081060362094,-18.745805889250725,-11.015940573882402,-3.1446602482841968,-19.958960377743796,-19.935875916654805,-11.933212624333466,-9.586088228825993
krb12,-30.0,-3.0,1.0,-6.0,-15.709171662069021,-16.804312499030907,-29.973305790818095,-28.126026986000632,-21.48915529452896,-10.737991159159684,-6.041586609550318,-26.96599013000941,-29.656415715351066,-5.197584115127988
krb20,-40.0,-4.0,1.0,-8.0,-9.004374920764011,-39.79141542454466,-32.47814803519299,-33.10364543006623,-4.064502799789835,-39.64344005548725,-4.000060815115525,-35.22256500427733,-16.12684346995719,-9.567441692279786
krb21,-30.0,-3.0,1.0,-6.0,-13.80223136452663,-28.47080717328364,-29.94938925368492,-22.50383164352112,-6.606848486841056,-29.74839553403303,-26.374680203944568,-25.94043705277869,-29.572034397546997,-3.000003070712175
krb22,-25.0,-2.5,1.0,-5.0,-11.533361555769483,-3.5238823109657424,-3.0836055908764592,-5.883974285390959,-4.059609048902132,-4.1422394208226265,-23.355978048091536,-23.619326254300606,-4.1440409029691985,-3.388568244036769
