parameters,dist_min,dist_max,target_weights,initialGuess,OF:11168.715355313989,OF:12013.325489783309
nmax0,1.5,15.0,1.0,3.0,1.8780040294571787,8.403738718724503
nmax1,1.25,12.5,1.0,2.5,10.338964222659497,12.097464858961928
nmax2,3.5,35.0,1.0,7.0,20.040559207114676,13.19942876998061
nmax3,0.5,5.0,1.0,1.0,3.116694789582787,1.3402111717931837
krb00,-31.0,-3.1,1.0,-6.2,-11.596280774746148,-22.486274301862288
krb01,-17.5,-1.75,1.0,-3.5,-16.53664063106926,-16.128542214514837
krb02,-17.5,-1.75,1.0,-3.5,-7.586727456263686,-3.1449894851993356
krb03,-25.25,-2.525,1.0,-5.05,-13.361121313545253,-7.44976546674792
krb10,-26.0,-2.6,1.0,-5.2,-15.221657217256244,-5.502644585446507
krb11,-22.5,-2.25,1.0,-4.5,-9.80419533399291,-4.197970659025785
krb12,-32.5,-3.25,1.0,-6.5,-5.327468925918513,-6.984386855894069
krb20,-41.0,-4.1,1.0,-8.2,-35.912598284912036,-23.26004308941532
krb21,-31.5,-3.15,1.0,-6.3,-16.787956865961583,-17.847553860772663
krb22,-27.5,-2.75,1.0,-5.5,-13.601119341228475,-21.849158285468413
cfall00,0.00075,0.0075,1.0,0.0015,0.007221351090135396,0.001736706680243778
cfall01,0.025,0.25,1.0,0.05,0.08095318030884663,0.07594337059218727
cfall02,0.0375,0.375,1.0,0.075,0.16362758893694246,0.0632963504359761
cfall03,0.003,0.03,1.0,0.006,0.005223712740960667,0.003261436222141634
cfall10,0.4,4.0,1.0,0.8,1.990260081120624,0.7154120343912665
cfall11,0.1,1.0,1.0,0.2,0.7653353201764388,0.1767829308835056
cfall12,0.002,0.02,1.0,0.004,0.0026023852888192355,0.004453746136173336
cfall20,0.0065,0.065,1.0,0.013,0.05578753832221358,0.06153444029812467
cfall21,0.05,0.5,1.0,0.1,0.13855982690702298,0.24408963585516688
cfall22,0.0075,0.075,1.0,0.015,0.012055395340849397,0.01678634790683329
nfall00,0.005,0.05,0.0,0.01,0.008299538991887657,0.020912715454347877
nfall01,0.004,0.04,0.0,0.008,0.005049212427055156,0.004552687507852723
nfall02,0.004,0.04,0.0,0.008,0.00528154720007104,0.014534641120409954
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.010039893269739149,0.005501110799872869
nfall11,0.004,0.04,0.0,0.008,0.01606823133697855,0.0059385268280477445
nfall12,0.004,0.04,0.0,0.008,0.03004138419541891,0.030892140639457933
nfall20,4.0e-5,0.0004,0.0,8.0e-5,4.2143342627632964e-5,0.0002667918216722573
nfall21,4.0e-5,0.0004,0.0,8.0e-5,0.000276476867421189,0.00011564067962567977
nfall22,4.0e-5,0.0004,0.0,8.0e-5,0.00011597334806546009,0.0003825532586354789
nfall23,4.0e-5,0.0004,0.0,8.0e-5,0.0002911820306986785,0.0002269812290675342
