parameters,dist_min,dist_max,weights,initialGuess,OF:161917.87900980693,OF:1.4329775287378056e6,OF:4.822925169881557e6,OF:7056.379057943882,OF:4486.995233525785,OF:234638.9078438178,OF:3.065017844653864e6,OF:50813.50424326326,OF:474032.2258450773,OF:7.164349982365209e6
krb00,-30.0,-3.0,1.0,-6,-7.520791234087213,-28.494858483565622,-29.342635349831383,-28.311597540409586,-25.045690036062414,-28.537020174099545,-29.698485963933866,-6.265669120498391,-28.437762098993403,-29.16228234460433
krb01,-15.0,-1.5,1.0,-3,-4.404444673256643,-14.534003994786733,-7.31258430828612,-6.8018786736199495,-10.76768610896442,-14.597579895235794,-8.53744434895454,-11.26826233529501,-12.679848486274452,-14.993655698947535
krb02,-15.0,-1.5,1.0,-3,-2.450350230121133,-9.846957619759142,-9.124248266065326,-9.253205041431777,-10.280170585176847,-14.649977549637079,-1.9439571092061527,-11.961291707532359,-13.88773633089812,-13.666997496412769
krb03,-25.0,-2.5,1.0,-5,-7.202977406083065,-13.55571872591398,-23.960989231319616,-24.98866562237653,-24.354140912930653,-5.67561491871324,-6.066639061989047,-24.949672756799426,-24.585221041560327,-5.939286664246364
krb10,-25.0,-2.5,1.0,-5,-20.323454455080828,-4.176117932295682,-4.910698492710452,-7.825862457563012,-22.96565617269389,-3.3706210406753314,-7.765121600143143,-24.89818338277602,-21.313583235533166,-21.84919210698348
krb11,-20.0,-2.0,1.0,-4,-16.8941306367797,-10.522157402617356,-2.1969031229291076,-8.32531141555014,-19.9463203138933,-2.0177075885224056,-15.378959102362156,-2.1886579932062666,-11.698927540923002,-2.385851397389189
krb12,-30.0,-3.0,1.0,-6,-5.496949948742806,-4.871938956715972,-4.58307010610018,-5.3964504885180915,-5.3789137500208035,-5.061322711145454,-6.169994780273296,-5.238702453161498,-5.366876315473569,-4.2777679760350935
krb20,-40.0,-4.0,1.0,-8,-32.600048434730866,-28.38812217907035,-39.671636446216844,-27.24782461734123,-33.80313801526446,-35.67034822573196,-36.577254150562325,-33.669846871242434,-33.70088319049963,-36.781079280162174
krb21,-30.0,-3.0,1.0,-6,-22.332934911391167,-29.115329810691765,-12.281545235513352,-3.0003966833323403,-3.112149264742694,-10.52564166038605,-9.577224332351065,-18.9445232237263,-3.0021860595340932,-4.981701182078357
krb22,-25.0,-2.5,1.0,-5,-2.9470233149534693,-4.300474540370523,-3.115375130473133,-3.380907648613803,-3.48193494442447,-2.771767843914379,-3.6890513146570143,-3.410536020211545,-4.071664300018043,-2.5251136990379734
