observation,model,model_1
0.91,1.48132,1.65503
30.87,47.91076,59.90897
498.69,627.83334,561.96865
0.41,0.67213,0.75704
2.47,1.87007,1.82757
11.82,0.0,0.08841
0.99,1.41878,1.65465
8.33,2.92305,5.47215
93.25,7.16467,4.06922
13.28,16.28995,8.01251
131.74,182.92655,44.7141
5469.13,5445.10176,5287.59648
731.99,640.77808,815.25039
5.6,2.19308,9.00635
0.05,0.03579,0.0343
0.16,0.0,0.00103
0.01,0.02816,0.03284
0.41,0.12427,0.23264
2.37,0.15805,0.08976
0.11,0.2765,0.136
7.04,8.47199,2.0709
107.98,93.17911,90.54051
1.08,10.87639,13.83783
0.1,0.03519,0.14453
