parameters,dist_min,dist_max,weights,initialGuess,OF:8.774468397869518e7,OF:8.780494434835707e7,OF:8.780646301581928e7,OF:8.771223861650862e7,OF:8.77872411033937e7,OF:8.780073377695063e7,OF:8.784458509284794e7,OF:8.771617490386836e7,OF:8.779636315932466e7,OF:8.778947406652908e7
nmax0,1.5,15.0,100.0,3.0,10.894390369317364,6.779368621705743,1.8424113562053606,11.465557525138815,14.956586148010434,14.165758556814371,5.0566634424547825,6.199262529958037,9.174606571853463,11.219895622039333
nmax1,1.0,10.0,100.0,2.0,8.125005643875273,8.245609319759575,8.239245753468081,8.114173088831073,8.208750584313014,8.2960278913142,8.0412537146563,8.306680105607581,8.219014070196488,8.33224986946281
nmax2,3.25,32.5,100.0,6.5,23.03167964236295,30.897754280957063,30.12741231222368,21.552320229724206,25.341978469518658,30.94999820367277,32.20043991999704,22.37309652060354,27.93610788969117,28.10987583743571
nmax3,0.5,5.0,100.0,1.0,4.083669460894688,1.6611897302210046,3.655461637303354,1.0509805182851242,3.177754689839066,3.847292323516718,1.1043646327121888,3.5406536760399914,2.950288816631721,2.708034905870765
