observation,model,model_1,model_2,model_3,model_4
0.91,1.49078,1.6415,1.48895,1.65947,1.2413
30.87,56.83198,37.29506,50.33827,56.23665,54.52138
498.69,501.71677,580.60012,674.81848,416.21727,659.1433
0.41,0.74558,0.75107,0.76666,0.75495,0.37383
2.47,1.871,1.84877,1.84281,1.86954,1.85504
11.82,0.02037,0.03153,0.54725,0.02499,0.30436
0.99,0.46332,0.70242,1.20286,0.47514,3.67529
8.33,6.07885,5.30914,6.02637,5.45145,6.02759
93.25,4.34903,0.55079,12.57941,5.419,22.83012
13.28,18.71561,22.79198,26.13408,22.43658,18.49564
131.74,134.53833,120.65803,201.81516,121.56441,164.46937
5469.13,5452.20483,5473.30864,5467.95693,5494.04795,5441.00415
731.99,730.87203,708.83077,869.10626,783.90948,671.21859
5.6,7.29225,8.43972,18.69955,6.71083,3.20394
