observation,model,model_1
0.91,1.61185,1.5737
30.87,57.40046,52.27746
498.69,516.84388,549.40653
0.41,0.82422,0.66263
2.47,1.79805,1.8518
11.82,0.00022,0.03749
0.99,0.18487,0.17728
8.33,4.42773,4.50862
93.25,0.3608,6.28367
13.28,21.16131,9.46518
131.74,99.73984,159.80864
5469.13,5469.10894,5472.90127
731.99,727.84406,725.65917
5.6,13.22927,17.09994
0.05,0.03375,0.03483
0.16,0.0,0.00044
0.01,0.00367,0.00352
0.41,0.18824,0.19168
2.37,0.00796,0.14125
0.11,0.35919,0.16066
7.04,4.62237,8.32598
107.98,115.04935,96.02994
1.08,12.35444,12.31714
0.1,0.21231,0.2836
