parameters,dist_min,dist_max,target_weights,initialGuess,OF:2.1821620548445356e8,OF:1.3236476232099453e8,OF:1.457660980083603e8,OF:2.248364609315733e8,OF:2.778092113048229e8
nmax0,-Inf,Inf,10.0,3.0,8.465955942348916,1.8166496652940762,4.640075509607705,2.382166322110123,14.21787181771623
nmax1,-Inf,Inf,10.0,2.0,8.506867197277781,6.004449109304946,8.152937901278946,9.232362239935863,9.855195691457235
nmax2,-Inf,Inf,100.0,6.5,32.40993164404951,32.49283522104494,29.951419501071715,31.151155884801334,29.637417597732508
nmax3,-Inf,Inf,10.0,1.0,3.732017328153616,4.794425005462018,1.311118210260966,4.992928401726722,4.124341638800889
krb00,-Inf,Inf,10.0,-6.0,-7.659072317841758,-27.812468878659118,-9.633034941252358,-22.3148929908941,-29.844746698011036
krb01,-Inf,Inf,10.0,-3.0,-11.597621786211118,-1.7207916527057492,-1.5327697340885056,-2.2199976700922317,-14.87635885175961
krb02,-Inf,Inf,10.0,-10.0,-46.19136363758229,-21.955293908663876,-9.53274907811658,-49.37405900735546,-32.6516878124294
krb03,-Inf,Inf,10.0,-5.0,-23.931707692525674,-24.888839576298356,-6.101331628355521,-23.49245916821482,-24.92329835441787
krb10,-Inf,Inf,10.0,-5.0,-10.191303152747016,-23.21320894706189,-13.210872188976284,-16.477072756267777,-24.511120436014572
krb11,-Inf,Inf,10.0,-4.0,-19.909736743581348,-2.1703540399163863,-19.49649559447014,-14.140966972895333,-9.592220850415341
krb12,-Inf,Inf,10.0,-12.0,-33.67049010238439,-49.869198376784425,-27.483960267076924,-59.53479902850751,-59.85634133428856
krb20,-Inf,Inf,100.0,-8.0,-39.794136820644276,-39.74491489002996,-24.046868107368674,-29.49811510052083,-30.68124699908025
krb21,-Inf,Inf,100.0,-6.0,-24.78432015178812,-29.046939406969503,-22.98748905331592,-22.34465709144136,-29.919976920786127
krb22,-Inf,Inf,10.0,-5.0,-4.547251783006562,-5.603976456613381,-5.664680314737218,-7.085828258881225,-4.635160914181299
