obs_id,observation,model,model_1,model_2,model_3,model_4
o1,2.47,1.8620398044586182,1.8514183640480042,1.871866798400879,1.8703609108924866,1.853533148765564
o2,11.82,5.073219871520996,0.7899527132511139,0.4817442774772644,2.6665838241577147,3.4323215007781984
o3,0.99,0.8262100279331207,1.9721879363059998,0.3924407124519348,0.807477742433548,0.38726078271865844
o4,8.33,2.45788688659668,5.558940076828003,3.8284371137619018,5.088326787948608,5.326487398147583
o5,93.25,22.556606674194335,4.262601470947265,11.500050258636474,5.140646505355835,2.4320071220397947
o6,13.28,37.79208068847656,92.42418060302734,87.41260147094727,91.17374649047852,64.59366073608399
o7,131.74,158.65813751220702,183.49073486328126,121.11908187866212,189.15271606445313,160.84158172607422
o8,5469.13,2476.181005859375,2618.7430908203123,2412.3714111328127,2580.59248046875,2287.702783203125
o9,731.99,710.601318359375,695.8270080566406,637.7446533203125,767.041943359375,659.523095703125
o10,5.6,5.612527465820312,21.758851623535158,2.526565408706665,2.6622883558273314,9.062863063812255
