observation,model,model_1
0.91,1.63382,1.56682
30.87,59.40788,52.50295
498.69,548.94232,693.12111
0.41,0.73959,0.73061
2.47,1.86788,1.82462
11.82,0.06831,1.0e-5
0.99,1.45817,0.8683
8.33,5.79333,5.72832
93.25,9.74309,0.43702
13.28,28.71718,22.03331
131.74,74.50267,164.70619
5469.13,5440.88613,5463.28721
731.99,703.9446,778.32867
5.6,3.71737,10.48819
0.05,0.03549,0.03424
0.16,0.0008,0.0
0.01,0.02894,0.01723
0.41,0.24629,0.24353
2.37,0.21493,0.00964
0.11,0.48762,0.37412
7.04,3.45049,7.62813
107.98,93.11507,93.49036
1.08,11.94856,13.21114
0.1,0.05965,0.16831
