parameters,dist_min,dist_max,target_weights,initialGuess,OF:15414.974070633603,OF:14609.201805976238
nmax0,15.0,150.0,1.0,30.0,119.10433181696763,132.98673106834195
nmax1,8.0,80.0,1.0,16.0,76.27802007155427,79.85020194762777
nmax2,55.0,550.0,1.0,110.0,221.4547629379462,514.1564828939129
nmax3,6.5,65.0,1.0,13.0,41.49953539113387,40.592618175517856
krb00,-250.0,-25.0,1.0,-50.0,-203.93499635239385,-98.49515296386272
krb01,-250.0,-25.0,1.0,-50.0,-191.44600116103885,-114.92569441324756
krb02,-150.0,-15.0,1.0,-30.0,-83.0850225432581,-39.74777166536684
krb03,-100.0,-10.0,1.0,-20.0,-31.894715330014336,-27.331025830374614
krb10,-50.0,-5.0,1.0,-10.0,-22.75393210752453,-20.45303900447439
krb11,-50.0,-5.0,1.0,-10.0,-37.649728357126605,-44.98152931256607
krb12,-250.0,-25.0,1.0,-50.0,-132.04785794262523,-183.4559628651696
krb20,-225.0,-22.5,1.0,-45.0,-198.26900028276674,-207.89477269824596
krb21,-35.0,-3.5,1.0,-7.0,-10.744585577822832,-14.636253269170119
krb22,-25.0,-2.5,1.0,-5.0,-22.393842857294903,-21.056289184809057
cfall00,0.00075,0.0075,1.0,0.0015,0.0017070893782379379,0.0019366052354049695
cfall01,0.025,0.25,1.0,0.05,0.09395043401826182,0.21489570437906685
cfall02,0.0375,0.375,1.0,0.075,0.16585897621247878,0.2689548160212843
cfall03,0.003,0.03,1.0,0.006,0.003918858088981888,0.004261352484313693
cfall10,0.4,4.0,1.0,0.8,3.2280196100820806,3.061723966218422
cfall11,0.1,1.0,1.0,0.2,0.11061455267525984,0.9653297076061669
cfall12,0.002,0.02,1.0,0.004,0.003599573476807761,0.002232618319266397
cfall20,0.0065,0.065,1.0,0.013,0.007294441669034608,0.010927812464578635
cfall21,0.05,0.5,1.0,0.1,0.48107111407423675,0.21252074624885836
cfall22,0.0075,0.075,1.0,0.015,0.013572658520685803,0.007757999806601007
nfall00,0.005,0.05,0.0,0.01,0.006897787399510183,0.008512711166036295
nfall01,0.004,0.04,0.0,0.008,0.008700929997163884,0.03869622719817317
nfall02,0.004,0.04,0.0,0.008,0.020079505738845732,0.026103662899845177
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.00819400706747229,0.04014521553358659
nfall11,0.004,0.04,0.0,0.008,0.004929721200446484,0.0064441214310774165
nfall12,0.004,0.04,0.0,0.008,0.016136203480436446,0.03343021512452261
nfall20,4.0e-5,0.0004,0.0,8.0e-5,4.807659598854657e-5,0.00022051929459475475
nfall21,4.0e-5,0.0004,0.0,8.0e-5,4.4316865413074035e-5,0.00029363069959180334
nfall22,4.0e-5,0.0004,0.0,8.0e-5,0.0001440875110386079,9.9238719593172e-5
nfall23,4.0e-5,0.0004,0.0,8.0e-5,0.0003768191737583875,8.996787375511672e-5
