parameters,dist_min,dist_max,target_weights,initialGuess,OF:40026.823855930146,OF:453311.2199760096
nmax0,1.5,15.0,1.0,3.0,11.290274756591465,8.306027190859947
nmax1,1.25,12.5,1.0,2.5,7.499002927105837,12.322545426753287
nmax2,3.5,35.0,1.0,7.0,18.67434983353667,19.965151360429207
nmax3,0.5,5.0,1.0,1.0,1.5953787354688862,1.9403160333450664
krb00,-31.0,-3.1,1.0,-6.2,-3.2653586924155356,-10.332530122970056
krb01,-17.5,-1.75,1.0,-3.5,-15.323753550094704,-11.485128804345647
krb02,-17.5,-1.75,1.0,-3.5,-1.7526957944356791,-2.444242777488899
krb03,-25.25,-2.525,1.0,-5.05,-12.361778218919472,-23.841694141053413
krb10,-26.0,-2.6,1.0,-5.2,-6.682581449681511,-23.719088177009677
krb11,-22.5,-2.25,1.0,-4.5,-16.042578534823047,-16.767084245587572
krb12,-32.5,-3.25,1.0,-6.5,-10.006751183280617,-9.22272175611576
krb20,-41.0,-4.1,1.0,-8.2,-26.624817223348835,-36.841238583461845
krb21,-31.5,-3.15,1.0,-6.3,-26.178471968287155,-19.942812535876044
krb22,-27.5,-2.75,1.0,-5.5,-16.59772083503878,-22.998193772437418
cfall00,0.00075,0.0075,1.0,0.0015,0.0017652635392124958,0.003214756983311794
cfall01,0.025,0.25,1.0,0.05,0.10280781652521156,0.05426948914549918
cfall02,0.0375,0.375,1.0,0.075,0.24190561499548163,0.055930110111716266
cfall03,0.003,0.03,1.0,0.006,0.024863711561697213,0.008101649188199134
cfall10,0.4,4.0,1.0,0.8,2.81371166607,0.4000121302802334
cfall11,0.1,1.0,1.0,0.2,0.1788670574264084,0.7458116866274913
cfall12,0.002,0.02,1.0,0.004,0.002000000000010514,0.005297934125442327
cfall20,0.0065,0.065,1.0,0.013,0.013353887141837273,0.011007840519428156
cfall21,0.05,0.5,1.0,0.1,0.48651080202541347,0.21520470633254452
cfall22,0.0075,0.075,1.0,0.015,0.008956228309173465,0.017550390505881072
nfall00,0.005,0.05,0.0,0.01,0.04048244358867258,0.041222002020939966
nfall01,0.004,0.04,0.0,0.008,0.01592501794898272,0.007079496389850155
nfall02,0.004,0.04,0.0,0.008,0.019801506386972305,0.007977627259057107
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.023086163655494818,0.007744179869219448
nfall11,0.004,0.04,0.0,0.008,0.03744232256125313,0.03580159608919545
nfall12,0.004,0.04,0.0,0.008,0.005577947845702867,0.017971064755910208
nfall20,4.0e-5,0.0004,0.0,8.0e-5,0.00038556409101853193,4.0006882109572354e-5
nfall21,4.0e-5,0.0004,0.0,8.0e-5,0.0002892175420258304,0.00010359426363807108
nfall22,4.0e-5,0.0004,0.0,8.0e-5,4.0110154523537595e-5,0.0001914841491216193
nfall23,4.0e-5,0.0004,0.0,8.0e-5,4.191335157355617e-5,5.7532237951775475e-5
