observation,model,model_1
0.91,1.62056,1.63892
30.87,58.91873,57.00772
498.69,520.10948,490.85323
0.41,0.82689,0.74225
2.47,1.86829,1.85516
11.82,0.09882,0.11035
0.99,1.53685,0.50295
8.33,5.51462,2.92114
93.25,0.18437,0.14205
13.28,5.61808,33.24319
131.74,73.70276,75.0089
5469.13,5470.84375,5385.91509
731.99,725.67827,679.36918
5.6,21.53416,3.85334
0.05,0.03554,0.03484
0.16,0.00115,0.00129
0.01,0.0305,0.00998
0.41,0.23444,0.12419
2.37,0.00407,0.00313
0.11,0.09536,0.56426
7.04,3.41344,3.47393
107.98,93.62702,92.17917
1.08,12.31781,11.53142
0.1,0.34557,0.06184
