parameters,dist_min,dist_max,weights,initialGuess,OF:169174.4924861258,OF:135454.90401421738,OF:135454.90401421738_1,OF:51313.44516698051,OF:102203.16816793295,OF:102203.16816793295_1,OF:1.9837287886261817e7,OF:1.096976585601642e6,OF:1.096976585601642e6_1,OF:36907.979496079024,OF:7929.339725442554,OF:7929.339725442554_1,OF:572144.5974736571,OF:69174.10709202522,OF:69174.10709202522_1
krb00,-30.0,-3.0,1.0,-6,-7.512837595193869,-14.982601749023013,-14.982601749023013,-24.10818107428297,-25.229121352236525,-25.229121352236525,-29.342635349831383,-27.412351037938855,-27.412351037938855,-3.1512965158566324,-25.741444455733486,-25.741444455733486,-28.519230284662953,-28.949363950871113,-28.949363950871113
krb01,-15.0,-1.5,1.0,-3,-4.1926841870090765,-2.168032474551385,-2.168032474551385,-13.964731440279394,-12.799837417608025,-12.799837417608025,-11.01340132629839,-13.901817685648474,-13.901817685648474,-6.305812885801629,-13.650064305312021,-13.650064305312021,-10.711650913312681,-4.947461268110038,-4.947461268110038
krb02,-15.0,-1.5,1.0,-3,-2.4982270654271534,-8.089221403339817,-8.089221403339817,-10.562525296965983,-3.2294734277953907,-3.2294734277953907,-1.7053478033462444,-6.192079931523811,-6.192079931523811,-11.617242686987664,-14.923373393150868,-14.923373393150868,-3.4037087517267057,-1.5067032045490407,-1.5067032045490407
krb03,-25.0,-2.5,1.0,-5,-7.087704174547653,-7.636992384512816,-7.636992384512816,-19.485562821106747,-2.93897583159589,-2.93897583159589,-3.146566996887021,-4.769404905529981,-4.769404905529981,-21.711205153911703,-24.36893162558399,-24.36893162558399,-4.062628613533903,-23.92514905629276,-23.92514905629276
krb10,-25.0,-2.5,1.0,-5,-20.3234490361733,-9.16832864932945,-9.16832864932945,-14.347430839215857,-5.306408070993367,-5.306408070993367,-21.00569986415514,-24.99188717957745,-24.99188717957745,-23.458460596182018,-22.7118764588642,-22.7118764588642,-10.712775829929368,-24.85461086529498,-24.85461086529498
krb11,-20.0,-2.0,1.0,-4,-16.89405542502471,-17.95535027040758,-17.95535027040758,-2.9017258634005536,-3.065959898429494,-3.065959898429494,-10.823161319308987,-4.284639910994034,-4.284639910994034,-2.905335973775415,-18.20172623406432,-18.20172623406432,-6.542925908684525,-2.0007833510769935,-2.0007833510769935
krb12,-30.0,-3.0,1.0,-6,-5.4690471953452295,-5.178914740026499,-5.178914740026499,-5.178415850335217,-5.247555547922051,-5.247555547922051,-17.245463961574995,-5.409031817845602,-5.409031817845602,-5.1789391509258955,-5.201223944262061,-5.201223944262061,-5.133444222653953,-5.394975608326746,-5.394975608326746
krb20,-40.0,-4.0,1.0,-8,-32.600048434730866,-18.52897644135199,-18.52897644135199,-28.38812217907243,-33.13372672674449,-33.13372672674449,-4.216712024601875,-36.386534218856745,-36.386534218856745,-9.32946426499582,-27.353038935603063,-27.353038935603063,-35.47814170774919,-35.723975739664205,-35.723975739664205
krb21,-30.0,-3.0,1.0,-6,-22.332854476703062,-15.038808945407103,-15.038808945407103,-19.16192627695554,-28.769775056007912,-28.769775056007912,-21.251486477777043,-29.999516439609465,-29.999516439609465,-5.8498539822309965,-3.2130461536591,-3.2130461536591,-3.0243788646876553,-29.75366307950426,-29.75366307950426
krb22,-25.0,-2.5,1.0,-5,-3.1592117216863436,-3.362326541251896,-3.362326541251896,-3.410744716112262,-3.5006987393875413,-3.5006987393875413,-3.2231052289629147,-3.604201658417182,-3.604201658417182,-3.3784203163560313,-3.3970861334713476,-3.3970861334713476,-3.242531168866975,-3.4793751587910755,-3.4793751587910755
