parameters,dist_min,dist_max,target_weights,initialGuess,OF:82627.37995787166,OF:285839.7446696575,OF:316567.52940578444,OF:115133.95623391545,OF:200540.0427612063,OF:278656.0748236543,OF:319390.51972599403,OF:132360.19731480823,OF:386011.70653458004,OF:419688.58494265703
nmax0,1.5,15.0,1.0,3.0,10.946767269334773,5.565322300969352,1.5834885548596953,13.644399431283585,10.112792370408814,4.937237337316098,2.3543950773879927,1.5217350640836362,14.879256218597785,1.5096256081158095
nmax1,1.0,10.0,1.0,2.0,3.093521941578109,7.87474829472884,6.328614480315755,1.0575806196933146,9.99868489649899,9.999355698443463,3.0641699168503305,1.2266666969329048,9.429700522877694,3.6973045985562036
nmax2,3.25,32.5,1.0,6.5,26.85305707306008,5.470980134653885,3.7547436252260713,4.18837285885349,30.197636654394504,3.8462533673415047,3.7295665392539163,4.012222200542817,4.367583747605224,4.4395377584876785
nmax3,0.5,5.0,1.0,1.0,1.8995695436630085,0.6570902322653132,1.3410521917803586,0.8383516372901163,4.375015714911516,4.5679580588200475,3.986591418368963,0.5576319240515007,4.287935602978451,4.89867243157523
krb00,-30.0,-3.0,1.0,-6.0,-4.658276909978245,-7.135276022109458,-3.9877248126003835,-15.33201821680422,-9.275326700129149,-29.432242279969163,-25.367807975601234,-29.83262776496109,-15.415094272217038,-22.338704555571773
krb01,-15.0,-1.5,1.0,-3.0,-5.638575773213001,-11.604217619266086,-11.795034180331848,-14.532520437008829,-14.165421191041293,-14.379691127681667,-1.5061246147027791,-10.010061114722003,-13.497780557583162,-4.3966414383315175
krb02,-15.0,-1.5,1.0,-3.0,-10.965386669171778,-7.621702646716302,-6.306133025094256,-6.596105481052348,-14.948119411907737,-7.341475449828715,-13.166605350475102,-11.894933561692548,-14.999537146416703,-4.505379868585285
krb03,-25.0,-2.5,1.0,-5.0,-17.00320904055883,-19.05791199636778,-3.1965781845349532,-20.48051797757777,-5.605091373827822,-23.35201490001767,-18.285593752350582,-9.352180018873325,-10.509087909037133,-11.945641290916008
krb10,-25.0,-2.5,1.0,-5.0,-18.61444463056499,-8.836886344923773,-4.611582214218728,-6.187607710058739,-2.5000903126193776,-21.092859556156338,-8.279306132936583,-19.48566451597131,-2.5556512982847366,-10.297438378502669
krb11,-20.0,-2.0,1.0,-4.0,-5.815986324219892,-9.301486699595877,-2.1932614338824727,-16.661640168334554,-2.7336157336276052,-12.10852355868635,-3.1471780880997073,-12.251035247138748,-3.602978417622385,-9.441533357514759
krb12,-30.0,-3.0,1.0,-6.0,-5.199127797046813,-5.708236898893116,-21.219563972249947,-16.393797139175085,-5.170449847536869,-29.99277851485611,-26.23697634418144,-13.116813881965722,-23.103967976189963,-27.329040634095975
krb20,-40.0,-4.0,1.0,-8.0,-32.71820153444313,-39.86737301832818,-38.43380650537591,-24.091393999817967,-39.88332793202706,-27.766419666702333,-39.13185702497295,-36.64319491030837,-39.30926742788442,-31.541492495775863
krb21,-30.0,-3.0,1.0,-6.0,-3.0796174421287574,-22.016335375441614,-4.151741689965185,-5.70986314120135,-29.536396458268207,-15.501652055245,-27.115996882932162,-29.554427736034008,-8.348886112114105,-27.537059281922684
krb22,-25.0,-2.5,1.0,-5.0,-3.3902788589668233,-3.436283152465652,-3.8949570774192743,-4.099911635248695,-2.9894795593194345,-4.274439294464681,-4.6528416713309895,-4.221094854641375,-2.8023719964061904,-2.803216831383928
