parameters,observation,model,model_1,model_2
o1,2.47,1.877314281463623,1.8588132858276367,1.858985185623169
o2,11.82,22.246259689331055,6.121909856796265,9.770381641387939
o3,0.99,1.6226555585861206,0.6786172091960907,0.8905204951763153
o4,8.33,4.9077404022216795,4.979777765274048,4.801435708999634
o5,93.25,149.2245330810547,151.92989349365234,29.00840072631836
o6,13.28,298.1054260253906,303.67115173339846,215.70813446044923
o7,131.74,147.7687255859375,159.86771240234376,162.68953399658204
o8,5469.13,5498.0146484375,4609.961962890625,3296.76923828125
o9,731.99,455.5348785400391,1510.549462890625,491.8898529052734
o10,5.6,9.999991321563721,12.47703800201416,12.438779258728028
