parameters,dist_min,dist_max,target_weights,initialGuess,OF:8327.986658631142,OF:152253.75270847074
nmax0,15.0,150.0,1.0,30.0,117.30939910483906,149.71743141435812
nmax1,8.0,80.0,1.0,16.0,8.09739295724183,52.4219043236354
nmax2,55.0,550.0,1.0,110.0,464.9182352460881,98.82283058838982
nmax3,6.5,65.0,1.0,13.0,20.195501569329572,8.135342967371363
krb00,-250.0,-25.0,1.0,-50.0,-29.27247888123793,-123.48306364378969
krb01,-250.0,-25.0,1.0,-50.0,-45.84719176714515,-114.67789357895975
krb02,-150.0,-15.0,1.0,-30.0,-117.54104267294177,-62.20940292205434
krb03,-100.0,-10.0,1.0,-20.0,-11.677599148824513,-55.21196315278461
krb10,-50.0,-5.0,1.0,-10.0,-29.52826260944469,-5.814012634097374
krb11,-50.0,-5.0,1.0,-10.0,-34.423843344029905,-37.52284026404315
krb12,-250.0,-25.0,1.0,-50.0,-25.72999600737424,-126.81949294036197
krb20,-225.0,-22.5,1.0,-45.0,-108.7734245102351,-204.35400956684185
krb21,-35.0,-3.5,1.0,-7.0,-30.10601627537182,-32.34195762672256
krb22,-25.0,-2.5,1.0,-5.0,-3.4702623798807686,-12.447479952077028
cfall00,0.00075,0.0075,1.0,0.0015,0.0019325868453537742,0.007444786217093664
cfall01,0.025,0.25,1.0,0.05,0.2290670665219462,0.13182078906151182
cfall02,0.0375,0.375,1.0,0.075,0.10950463577016994,0.3477117588790911
cfall03,0.003,0.03,1.0,0.006,0.007171720042048928,0.016064498461587667
cfall10,0.4,4.0,1.0,0.8,0.6290065325992127,0.4002183315013186
cfall11,0.1,1.0,1.0,0.2,0.11681191937077964,0.9896576219159473
cfall12,0.002,0.02,1.0,0.004,0.003658760936529626,0.002814498300402814
cfall20,0.0065,0.065,1.0,0.013,0.02718246699241801,0.01345799469929242
cfall21,0.05,0.5,1.0,0.1,0.17780127125562623,0.11757987948507274
cfall22,0.0075,0.075,1.0,0.015,0.008280380814666853,0.008402676739989111
nfall00,0.005,0.05,0.0,0.01,0.03536208675368678,0.028845392743200037
nfall01,0.004,0.04,0.0,0.008,0.008178114598091934,0.01393667557933234
nfall02,0.004,0.04,0.0,0.008,0.022143111272626102,0.004364694804958238
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.03239182938766236,0.04850780901281051
nfall11,0.004,0.04,0.0,0.008,0.008955946867438664,0.004003306398661042
nfall12,0.004,0.04,0.0,0.008,0.006135219205016832,0.009538277352543966
nfall20,4.0e-5,0.0004,0.0,8.0e-5,5.800775382803529e-5,0.0003960796904643163
nfall21,4.0e-5,0.0004,0.0,8.0e-5,4.0516405302030235e-5,6.170387235872789e-5
nfall22,4.0e-5,0.0004,0.0,8.0e-5,4.026832164594544e-5,0.00021848570609359075
nfall23,4.0e-5,0.0004,0.0,8.0e-5,9.010956277783353e-5,6.1762998817735e-5
