parameters,dist_min,dist_max,weights,initialGuess,OF:870.7840085573001,OF:0.08915524144501422,OF:0.020910325199581255
cmax0,3.65,36.5,100.0,7.3,7.943399168850462,6.993911268658151,6.995473382893328
cmax1,100.0,1000.0,100.0,200.0,210.2814674978339,210.2120193429432,210.21130145394608
cmax2,499.5,4995.0,100.0,999.0,1034.136500538425,1033.312091916996,1033.4733822758922
cmax3,0.625,6.25,100.0,1.25,1.3270625809551504,1.114597734185495,1.1108007779864066
