panel,metric,item,value
PFT Comparison,GPP,Betula,-0.04621739249222895
PFT Comparison,GPP,DecidTree,-0.0026916369448626134
PFT Comparison,GPP,EverTree,-0.24147126283750453
PFT Comparison,GPP,Sedge,-0.9210947071200525
PFT Comparison,GPP,Forbs,-0.00059663407327799
PFT Comparison,GPP,Lichen,-0.0016416850065599231
PFT Comparison,GPP,Feather,0.021528028438639824
PFT Comparison,GPP,Sphag,0.04728156323458059
PFT Comparison,NPP,Betula,0.0027112214296185766
PFT Comparison,NPP,DecidTree,-0.00021871455851544576
PFT Comparison,NPP,EverTree,-0.05515796542847884
PFT Comparison,NPP,Sedge,-0.8790878265197657
PFT Comparison,NPP,Forbs,0.00026402460808734856
PFT Comparison,NPP,Lichen,0.004219379575639046
PFT Comparison,NPP,Feather,0.027942905777810167
PFT Comparison,NPP,Sphag,0.04925774346083242
PFT Comparison,$C_{leaf}$,Betula,0.021166918685105895
PFT Comparison,$C_{leaf}$,DecidTree,3.156850644528783e-05
PFT Comparison,$C_{leaf}$,EverTree,-0.01567545554844145
PFT Comparison,$C_{leaf}$,Sedge,-0.03282504027002975
PFT Comparison,$C_{leaf}$,Forbs,0.0005404285474118352
PFT Comparison,$C_{leaf}$,Lichen,0.00786754577091199
PFT Comparison,$C_{leaf}$,Feather,0.007720941351396865
PFT Comparison,$C_{leaf}$,Sphag,0.024246767696738544
PFT Comparison,$C_{stem}$,Betula,0.2786687523407183
PFT Comparison,$C_{stem}$,DecidTree,0.001995541381605739
PFT Comparison,$C_{stem}$,EverTree,0.05041611899622611
PFT Comparison,$C_{root}$,Betula,0.03852451528230036
PFT Comparison,$C_{root}$,DecidTree,0.0001743880322871603
PFT Comparison,$C_{root}$,EverTree,0.0527730304115398
PFT Comparison,$C_{root}$,Sedge,-0.1607269644301017
PFT Comparison,$C_{root}$,Forbs,0.00125284171634827
PFT Comparison,$N_{leaf}$,Betula,0.04843133805618186
PFT Comparison,$N_{leaf}$,DecidTree,0.00010605020820719097
PFT Comparison,$N_{leaf}$,EverTree,-0.0076250365572552645
PFT Comparison,$N_{leaf}$,Sedge,-0.03870144855807153
PFT Comparison,$N_{leaf}$,Forbs,0.0015639850895183844
PFT Comparison,$N_{leaf}$,Lichen,0.013567201257593448
PFT Comparison,$N_{leaf}$,Feather,0.022478994275050082
PFT Comparison,$N_{leaf}$,Sphag,0.034593517375565236
PFT Comparison,$N_{stem}$,Betula,0.4649047563928463
PFT Comparison,$N_{stem}$,DecidTree,0.0033914937151090585
PFT Comparison,$N_{stem}$,EverTree,0.0890992143536602
PFT Comparison,$N_{root}$,Betula,0.1678336063547813
PFT Comparison,$N_{root}$,DecidTree,0.0009064618067687244
PFT Comparison,$N_{root}$,EverTree,0.07533076100942354
PFT Comparison,$N_{root}$,Sedge,-0.11395154901533665
PFT Comparison,$N_{root}$,Forbs,0.007927954911058402
Soil Comparison,Soils,SHLWC,-0.022519339626587517
Soil Comparison,Soils,DEEPC,-0.07763653172694511
Soil Comparison,Soils,MINEC,-0.530067539055089
Soil Comparison,Soils,AVLN,-0.00016783570731470157
