panel,metric,item,value
PFT Comparison,GPP,pft0,-0.39535858840768845
PFT Comparison,GPP,pft1,-0.05015385518652163
PFT Comparison,GPP,pft2,-0.04576735852639885
PFT Comparison,GPP,pft3,-0.005011640969711018
PFT Comparison,NPP,pft0,-0.23870427824595686
PFT Comparison,NPP,pft1,-0.04784996258897771
PFT Comparison,NPP,pft2,-0.003078240620891848
PFT Comparison,NPP,pft3,-0.008008628294278591
PFT Comparison,$C_{leaf}$,pft0,0.16951637632455396
PFT Comparison,$C_{leaf}$,pft1,-0.0543448105214247
PFT Comparison,$C_{leaf}$,pft2,-0.02249962354062207
PFT Comparison,$C_{leaf}$,pft3,-0.009730242202531048
PFT Comparison,$C_{stem}$,pft0,-0.8580636811327578
PFT Comparison,$C_{stem}$,pft1,-0.031429537132604796
PFT Comparison,$C_{root}$,pft0,-0.30581152945845874
PFT Comparison,$C_{root}$,pft1,-0.008787715655654223
PFT Comparison,$N_{leaf}$,pft0,0.20605915489251875
PFT Comparison,$N_{leaf}$,pft1,-0.07662197088012916
PFT Comparison,$N_{leaf}$,pft2,-0.026288822515686927
PFT Comparison,$N_{leaf}$,pft3,-0.0018264822048468174
PFT Comparison,$N_{stem}$,pft0,-0.8654177916067176
PFT Comparison,$N_{stem}$,pft1,-0.02098258111588245
PFT Comparison,$N_{root}$,pft0,-0.4549999179952582
PFT Comparison,$N_{root}$,pft1,-0.013560946336662653
Soil Comparison,Soils,SHLWC,0.0009475148449896303
Soil Comparison,Soils,DEEPC,0.005086102741814175
Soil Comparison,Soils,MINEC,-0.46953975535782777
Soil Comparison,Soils,AVLN,-1.6387941441430012e-05
