panel,metric,item,value
PFT Comparison,GPP,Lichen,-0.21817330224154674
PFT Comparison,GPP,Sphag,-0.13515329115186459
PFT Comparison,GPP,EverShrub,-0.06934286478778096
PFT Comparison,GPP,DecidShrub,0.4344378279440264
PFT Comparison,GPP,Sedge,-0.017871542801423446
PFT Comparison,NPP,Lichen,-0.20767960875765568
PFT Comparison,NPP,Sphag,-0.13280363642754622
PFT Comparison,NPP,EverShrub,-0.06167545248960743
PFT Comparison,NPP,DecidShrub,0.41142408603634306
PFT Comparison,NPP,Sedge,-0.01840083552178802
PFT Comparison,$C_{leaf}$,Lichen,-0.07850637024194662
PFT Comparison,$C_{leaf}$,Sphag,-0.037755138380412
PFT Comparison,$C_{leaf}$,EverShrub,-0.20599118942731276
PFT Comparison,$C_{leaf}$,DecidShrub,0.3916898977809016
PFT Comparison,$C_{leaf}$,Sedge,0.015610386264481746
PFT Comparison,$C_{stem}$,Lichen,-0.19438192930515644
PFT Comparison,$C_{stem}$,Sphag,-0.5355940520500821
PFT Comparison,$C_{root}$,Lichen,-0.21610639328473466
PFT Comparison,$C_{root}$,Sphag,-0.22837796635564728
PFT Comparison,$C_{root}$,EverShrub,-0.13588546255506606
PFT Comparison,$N_{leaf}$,Lichen,0.25803374973027116
PFT Comparison,$N_{leaf}$,Sphag,0.21553120693884642
PFT Comparison,$N_{leaf}$,EverShrub,-0.12720286534469552
PFT Comparison,$N_{leaf}$,DecidShrub,0.4994207459621616
PFT Comparison,$N_{leaf}$,Sedge,0.09495914281363801
PFT Comparison,$N_{stem}$,Lichen,-0.10711730910381412
PFT Comparison,$N_{stem}$,Sphag,-0.2579826170200482
PFT Comparison,$N_{root}$,Lichen,-0.09985243705707868
PFT Comparison,$N_{root}$,Sphag,-0.1453889134751666
PFT Comparison,$N_{root}$,EverShrub,-0.3888087582234089
Soil Comparison,Soils,SHLWC,-0.00044815703034400967
Soil Comparison,Soils,DEEPC,-0.004668283095295989
Soil Comparison,Soils,MINEC,-0.4193123668644738
Soil Comparison,Soils,AVLN,7.5556561509313905e-06
