parameters,dist_min,dist_max,weights,initialGuess,OF:1.18623707792412e6,OF:187873.2879680261,OF:137967.1088246484,OF:120816.51061441754,OF:211451.40615958348,OF:172496.4453195252,OF:108947.49421543237,OF:181318.31002576565,OF:168685.25028014157,OF:139537.91051940218
krb00,-20.0,-0.1,1.0,-6.0,-18.84608283349216,-17.826370794855713,-19.958986133138033,-3.8192900808953034,-3.7745064090567837,-18.810313859588067,-13.343651409548363,-3.7898819291604084,-3.7593672920655123,-3.835558547405963
krb01,-20.0,-0.1,1.0,-3.45,-7.31072851379397,-16.54195084173776,-19.170063256767808,-18.488171529347152,-16.24994431640768,-0.6436216381650794,-17.42161830863035,-19.974644358758805,-0.10012051039732484,-16.293773759772122
krb02,-20.0,-0.1,1.0,-2.95,-10.545995639936478,-19.889101550490704,-14.02839384482741,-11.987406655419125,-16.493069859315362,-9.348133750463516,-11.999528634477127,-14.92015460451319,-1.7891967635809785,-0.1152331100414834
krb03,-20.0,-0.1,1.0,-4.65,-12.55638409239096,-12.904273071122095,-12.380235852057062,-4.563326467863455,-18.89528000555,-16.29780157352819,-4.829636841217958,-16.819772021858885,-19.34737463151094,-4.460764629314697
krb10,-20.0,-0.1,1.0,-4.88,-3.7315979212112964,-4.758590771338376,-4.8628177962592165,-12.587139158886536,-18.41567054155683,-4.916201580225255,-4.948209126695737,-11.71841585039503,-9.973845612823975,-10.477068642050813
krb11,-20.0,-0.1,1.0,-5.15,-4.953688764115606,-0.4408111196382869,-0.10695445238273749,-4.750464084245845,-19.72891572516268,-8.719183373432951,-4.698352901080325,-0.1935748884082713,-19.82880359983293,-0.43257352009128525
krb12,-20.0,-0.1,1.0,-6.65,-6.123637852680908,-9.027256758976522,-6.711080819205682,-5.589380797081679,-19.100697300462446,-4.085646885940445,-5.658736797324629,-16.140315924850256,-19.08299509173059,-12.84070234125025
krb20,-20.0,-0.1,1.0,-8.2,-19.69115135372116,-18.97601724108552,-13.685690241361595,-13.069048329373171,-16.108442997493803,-18.485530476564666,-13.04238583251996,-19.57319936328169,-19.979179694727804,-15.444377723167566
krb21,-20.0,-0.1,1.0,-6.2,-18.215681771958657,-16.10402637231906,-13.835694193622945,-2.4949275032087677,-3.1568602270405677,-19.999776311528873,-6.3789865139212925,-19.74742532178034,-17.089687214295065,-2.0170458252670613
krb22,-20.0,-0.1,1.0,-3.2,-17.590502492963367,-13.586757423119261,-0.12857251526328994,-5.356225305748991,-17.523502579616586,-2.8185025922257196,-4.678460135999547,-19.69468986435999,-15.956045111382567,-2.5594289732044757
